Document Title,Abstract,Year,PDF Link,label
Reducing Exception Handling Complexity in Business Process Modeling and Implementation: The WED-Flow Approach,"Today's enterprises reevaluate and adjust their business processes at a very high frequency, which presents a non-trivial challenge to classic BPM methodology. In particular, the dynamic nature of exception handling may generate highly significant costs when business processes are modeled and implemented statically based on formal frameworks (e.g., process algebra and Petri nets). In this work we introduce the WED-flow (Workflow, Event processing, and Data-flow) approach, a novel concept for modeling and implementation of business processes that significantly reduces the complexity of exception handling quantitatively, as compared to current approaches. WED-flows explicitly integrate events, data, conditions, and transitions by capturing data instances (future, current, and historical) as data states, which enables incremental business process development. More generally, this paper provides a conceptual basis and guidelines for capturing, processing, and storing event-handling environments. Consequently, information systems that implement business processes as WED-flows are truly dynamic and no longer time-invariant by design.",2010,,yes
Managing Process Model Complexity Via Abstract Syntax Modifications,"As a result of the growing adoption of Business Process Management (BPM) technology, different stakeholders need to understand and agree upon the process models that are used to configure BPM systems. However, BPM users have problems dealing with the complexity of such models. Therefore, the challenge is to improve the comprehension of process models. While a substantial amount of literature is devoted to this topic, there is no overview of the various mechanisms that exist to deal with managing complexity in (large) process models. As a result, it is hard to obtain an insight into the degree of support offered for complexity reducing mechanisms by state-of-the-art languages and tools. This paper focuses on complexity reduction mechanisms that affect the abstract syntax of a process model, i.e., the formal structure of process model elements and their interrelationships. These mechanisms are captured as patterns so that they can be described in their most general form, in a language-and tool-independent manner. The paper concludes with a comparative overview of the degree of support for these patterns offered by state-of-the-art languages and tools, and with an evaluation of the patterns from a usability perspective, as perceived by BPM practitioners.",2011,10.1109/TII.2011.2166795,yes
A Study Into the Factors That Influence the Understandability of Business Process Models,"Business process models are key artifacts in the development of information systems. While one of their main purposes is to facilitate communication among stakeholders, little is known about the factors that influence their comprehension by human agents. On the basis of a sound theoretical foundation, this paper presents a study into these factors. Specifically, the effects of both personal and model factors are investigated. Using a questionnaire, students from three different universities evaluated a set of realistic process models. Our findings are that both types of investigated factors affect model understanding, while personal factors seem to be the more important of the two. The results have been validated in a replication that involves professional modelers.",2011,10.1109/TSMCA.2010.2087017,yes
Human and automatic modularizations of process models to enhance their comprehension,"Modularization is a widely advocated mechanism to manage a business process model's size and complexity. However, the widespread use of subprocesses in models does not rest on solid evidence for its benefits to enhance their comprehension, nor are the criteria clear how to identify subprocesses. In this paper, we describe an empirical investigation to test the effectiveness of using subprocesses in real-life process models. Our results suggest that subprocesses may foster the understanding of a complex business process model by their ""information hiding"" quality. Furthermore, we explored different categories of criteria that can be used to automatically derive process fragments that seem suitable to capture as subprocesses. From this exploration, approaches that consider the connectedness of subprocesses seem most attractive to pursue. This insight can be used to develop tool support for the modularization of business process models. (C) 2011 Elsevier B.V. All rights reserved.",2011,10.1016/j.is.2011.03.003,yes
An Empirical Analysis of Human Performance and Error in Process Model Development,"Process models capture important corporate know-how for an effective Business Process Management. Inconsistencies between process models and corporate reality are a common phenomenon in corporate practice. Human performance in process model development is a major source for these inconsistencies. In this contribution, a human performance analysis of process model development paying special attention to the concept of human error was conducted. It was found that the frequencies of the omissions and erroneous executions of notation elements are significantly higher for novices than for experienced modelers. Moreover, experienced modelers inherently adhere to a verb-object activity labeling style. The overall empirical results indicate that experienced modelers achieve higher process model quality with less expenditure of time than novices.",2011,,yes
Recommendation-based editor for business process modeling,"To ensure proper and efficient modeling of business processes, it is important to support users of process editors adequately. With only minimal modeling support, the productivity of novice business process modelers may be low when starting process modeling. In this article, we present a theoretically sound and empirically validated recommendation-based modeling support system, which covers different aspects of business process modeling. We consider basic functionality, such as an intuitive search interface, as well as advanced concepts like patterns observed in other users' preferences. Additionally, we propose a multitude of interaction possibilities with the recommendation system, e.g., different metrics that can be used in isolation or an overall recommender component that combines several sub metrics into one comprehensive score. We validate a prototype implementation of the recommendation system with exhaustive user experiments based on real-life process models. To our knowledge, this is the only comprehensive recommendation system for business process modeling that is available. (C) 2011 Elsevier B.V. All rights reserved.",2011,10.1016/j.datak.2011.02.002,yes
Managing Process Model Complexity via Concrete Syntax Modifications,"While Business Process Management (BPM) is an established discipline, the increased adoption of BPM technology in recent years has introduced new challenges. One challenge concerns dealing with the ever-growing complexity of business process models. Mechanisms for dealing with this complexity can be classified into two categories: 1) those that are solely concerned with the visual representation of the model and 2) those that change its inner structure. While significant attention is paid to the latter category in the BPM literature, this paper focuses on the former category. It presents a collection of patterns that generalize and conceptualize various existing mechanisms to change the visual representation of a process model. Next, it provides a detailed analysis of the degree of support for these patterns in a number of state-of-the-art languages and tools. This paper concludes with the results of a usability evaluation of the patterns conducted with BPM practitioners.",2011,10.1109/TII.2011.2124467,yes
Quality indicators for business process models from a gateway complexity perspective,"Context: Quality assurance of business process models has been recognized as an important factor for modeling success at an enterprise level. Since quality of models might be subject to different interpretations, it should be addressed in the most objective way, by the application of measures. That said, however, assessment of measurement results is not a straightforward task: it requires the identification of relevant threshold values, which are able to distinguish different levels of process model quality. Objective: Since there is no consensual technique for obtaining these values, this paper proposes the definition of thresholds for gateway complexity measures based on the application of statistical techniques on empirical data. Method: To this end, we conducted a controlled experiment that evaluates quality characteristics of understandability and modifiability of process models in two different runs. The thresholds obtained were validated in a replication of the experiment. Results: The thresholds for gateway complexity measures are instrumental as guidelines for novice modelers. A tool for supporting business process model measurement and improvement is described, based on the automatic application of measurement, and assessment as well as derivation of advice about how to improve the quality of the model. Conclusion: It is concluded that thresholds classified business process models in the specific level of understandability and modifiability, so these thresholds were good and useful for decision-making. (c) 2012 Elsevier B.V. All rights reserved.",2012,10.1016/j.infsof.2012.05.001,yes
Towards Understanding the Process of Process Modeling: Theoretical and Empirical Considerations,"Empirical studies of business process modeling typically aim at understanding factors that can improve model quality. We identify two limitations of such studies. First, the quality dimensions usually addressed are mainly syntactic and pragmatic, not addressing semantic quality sufficiently. Second, while findings related to model understanding have been anchored in cognitive theories, findings related to model construction have remained mostly unexplained. This paper proposes to study the process of process modeling, based on problem solving theories. Specifically, the work takes the approach that problems are first conceptualized as mental models, to which solution methods are applied. The paper suggests that investigating these two phases can help understand and hence improve semantic and syntactic quality of process models. The paper reports on an empirical study addressing the mental model created during process model development, demonstrating the feasibility of such studies. It then suggests designs for other studies that follow this direction.",2012,,yes
"Tying Process Model Quality to the Modeling Process: The Impact of Structuring, Movement, and Speed","In an investigation into the process of process modeling, we examined how modeling behavior relates to the quality of the process model that emerges from that. Specifically, we considered whether (i) a modeler's structured modeling style, (ii) the frequency of moving existing objects over the modeling canvas, and (iii) the overall modeling speed is in any way connected to the ease with which the resulting process model can be understood. In this paper, we describe the exploratory study to build these three conjectures, clarify the experimental set-up and infrastructure that was used to collect data, and explain the used metrics for the various concepts to test the conjectures empirically. We discuss various implications for research and practice from the conjectures, all of which were confirmed by the experiment.",2012,,yes
Factors of process model comprehension-Findings from a series of experiments,"In order to make good decisions about the design of information systems, an essential skill is to understand process models of the business domain the system is intended to support. Yet, little knowledge to date has been established about the factors that affect how model users comprehend the content of process models. In this study, we use theories of semiotics and cognitive load to theorize how model and personal factors influence how model viewers comprehend the syntactical information of process models. We then report on a four-part series of experiments, in which we examined these factors. Our results show that additional semantical information impedes syntax comprehension, and that theoretical knowledge eases syntax comprehension. Modeling experience further contributes positively to comprehension efficiency, measured as the ratio of correct answers to the time taken to provide answers. We discuss implications for practice and research. (C) 2012 Elsevier B.V. All rights reserved.",2012,10.1016/j.dss.2011.12.013,yes
Thresholds for error probability measures of business process models,"The quality of conceptual business process models is highly relevant for the design of corresponding information systems. In particular, a precise measurement of model characteristics can be beneficial from a business perspective, helping to save costs thanks to early error detection. This is just as true from a software engineering point of view. In this latter case, models facilitate stakeholder communication and software system design. Research has investigated several proposals as regards measures for business process models, from a rather correlational perspective. This is helpful for understanding, for example size and complexity as general driving forces of error probability. Yet, design decisions usually have to build on thresholds, which can reliably indicate that a certain counter-action has to be taken. This cannot be achieved only by providing measures; it requires a systematic identification of effective and meaningful thresholds. In this paper, we derive thresholds for a set of structural measures for predicting errors in conceptual process models. To this end, we use a collection of 2000 business process models from practice as a means of determining thresholds, applying an adaptation of the ROC curve method. Furthermore, an extensive validation of the derived thresholds was conducted by using 429 EPC models from an Australian financial institution. Finally, significant thresholds were adapted to refine existing modeling guidelines in a quantitative way. (C) 2012 Elsevier Inc. All rights reserved.",2012,10.1016/j.jss.2012.01.017,yes
"A comprehensive model for cyclic voltammetric study of intercalation/de-intercalation process incorporating charge transfer, ion transport and thin layer phenomena","A comprehensive model involving intercalation, competitive background reaction and de-intercalation is described. The interaction step is modelled as simple irreversible charge transfer and charge transfer coupled with diffusion. The de-intercalation step is modeled as a thin-film process. Overall cyclic voltammetric (CV) responses under all these limiting conditions are also presented and discussed. The method is also used for comparing typical experimental CV responses reported in the literature. The method is found to be useful in comparing the intercalation processes under different experimental conditions and evaluating model parameters. (C) 2000 Elsevier Science S.A. All rights reserved.",2000,10.1016/S0378-7753(00)00369-4,no
Microstructural evolution of Inconel* 718 during ingot breakdown: process modelling and validation,"A computer model is presented that describes microstructural evolution during the ingot breakdown of nickel base superalloy Inconel 718 via the open die cogging operation, To support the development of the model, a compression testing programme has been carried out which covers the ranges of temperatures, strains, and strain rates experienced during thermomechanical processing. Analysis of the flow curves has allowed the identification of the regimes in which the various deformation mechanisms take place. Logic based rules have been incorporated into the model, and this has allowed predictions of the microstructural e-volution to be made. Where possible, the results have been compared with the available experimental data and it is shown that theory and experiment are in reasonable agreement, A number of computational experiments have been carried out, to study the effects of changing the forging procedure. MST/4426.",2000,10.1179/026708300773002627,no
Microstructural evolution of nickel-base superalloy forgings during ingot to-billet conversion: Process modelling and validation,"A computer-based process modelling capability has been developed to simulate the evolution of microstructure during ingot-to-billet conversion of nickel-base superalloys. A unique feature of the model is the incorporation of rules describing the dynamic and static recrystallisation phenomena that govern microstructural development. Computational investigations consider the influence of process control parameters such as die velocity and displacement to obtain an optimal microstructure. Furthermore, a comparison is made of the effective strain profiles obtained by squeezing flat versus rounded sections of the workpiece.",2000,,no
Modeling and simulation of hydrodemetallation and hydrodesulfurization processes with transient catalytic efficiency,"A model is presented for the description of the concentration behavior of organometallic and sulfurated compounds in hydrodemetallation and hydrodesulfurization catalytic processes, where catalyst effectiveness decreases with time. Due to the complexity of the mixture, an approach based on pseudocomponents was adopted. The system is modeled as an isothermal tubular reactor with axial dispersion, where the gas phase (hydrogen in excess) flows upward concurrently with the liquid phase (heavy oil) while the solid phase (catalyst) stays inside the reactor in an expanded (confined) bed regime. The catalyst particles are very small and are assumed to be uniformly distributed in the reactor. The heavy oil fractions contain organometallics and sulfurated compounds, from which the metals and sulfur are to be removed, the metals as deposits in the catalyst pores and the sulfur as gas products. Simulations were carried out where the concentration profile inside the reactor was calculated for several residence times.",2000,,no
A simulation approach based on the petri net model to evaluate the global performance of a weaving process,A monitoring system provides the value of machine efficiency from a previous weaning process. This paper presents an approach to a simulation to predict the efficiency in a weaving group by using stochastic information collected from similar weaving processes carried out in the past. The simulation study of the discrete weaving process is based on the stochastic Petri net model. The simulation results for a case study are also presented in this paper.,2000,,no
Gradient gas sensor microarrays for on-line process control - a new dynamic classification model for fast and reliable air quality assessment,"A new dynamic gas classification model was developed to achieve a reliable on-line discrimination at very fast response times. The aim was to be able to follow rapid changes in gas compositions using an electronic nose in consumer applications. The electronic nose is based on a microarray especially designed for production at very low costs. This is essential for application in mass products. Common classification methods used fur signal evaluation of electronic noses such as Linear Discriminant Analysis (LDA), Neural Networks (NN) or Soft Independent Modelling of Class Analogy (SIMCA) fail to detect non-stationary gas mixtures. The new model, however, combines classification of steady states with transient evaluation via time series analysis. Rapid signal transients are detected by appropriate digital filters, steady state signals are classified by the above mentioned standard methods. The simplicity of the algorithm model allows implementation in low-cost electronic units, containing micro controllers with very limited memory capacity. To give an example, the automatic control of thr ventilation flap of automobiles was investigated. Intermediate streams of bad air could be detected within 1-2 s. The error of pollutants detection was reduced from 25%, applying static classification only, to 10% for the new dynamic model. (C) 2000 Elsevier Science S.A. All rights reserved.",2000,10.1016/S0925-4005(00)00470-6,no
Evaluation of component behavior in process system on material-utilization diagram,"A new method is proposed to disclose the role of each component in a chemical process system. There are many methods for analyzing a process system from energy viewpoints. But these viewpoints cannot be applied to the behavior of each chemical component especially related to environmental problems, because the energy of such a dilute component is negligibly small as compared with that of the main component, Hence, a new diagram with ordinate of ln p(j) and abscissa of n(f)RT(0) for component j is proposed and it is called a material-utilization diagram. The relationship between this diagram and the energy-utilization diagram is demonstrated from the entropy production.",2000,10.1252/jcej.33.184,no
Effects of correlation among parameters on prediction quality of a process-based forest growth model,"A nonparametric method was introduced as a technique for evaluating the effects of parameter correlation on prediction quality of process-based forest growth models. The method was based on a rank correlation and Cholesky decomposition. For a given data matrix, by reordering the observations, the method would produce a rearranged matrix with the desired correlation structure. The method was computationally simple and efficient. Using a process-based model calibrated for red pine (Pinus resinosa Ait.) as an example, small-scale Monte Carlo simulations revealed that parameter correlation had different effects on the model's prediction means and variances, depending on the importance of the parameters involved. In general, given the same level of correlation, correlation between two important parameters would have greater influences on prediction quality than correlation between two less important parameters. Parameter correlation slightly affected the prediction means but could significantly change prediction variances. The relationship between prediction quality and the degrees of correlation, however, was not necessarily a linear one. The same parameter correlation might also have different effects on different state variables.",2000,,no
A relational database model for improving quality assurance and process control in a composite manufacturing environment,"A relational database is a powerful tool for collecting and analyzing the vast amounts of inner-related data associated with the manufacture of composite materials. A relational database contains many individual database tables that store data that are related in some fashion. Manufacturing process variables as well as quality assurance measurements can be collected and stored in database tables indexed according to lot numbers, part type or individual serial numbers. Relationships between manufacturing process and product quality can then be correlated over a wide range of product types and process variations. This paper presents details on how relational databases are used to collect, store, and analyze process variables and quality assurance data associated with the manufacture of advanced composite materials. Important considerations are covered including how the various types of data are organized and how relationships between the data are defined. Employing relational database techniques to establish correlative relationships between process variables and quality assurance measurements is then explored. Finally, the benefits of database techniques such as data warehousing, data mining and web based client/server architectures are discussed in the context of composite material manufacturing.",2000,10.1117/12.385497,no
Evaluation of aggregating brain cell cultures as a model for studying ischaemia-related neurodegenerative processes,"Aggregating brain cell cultures prepared from fetal rat telencephalon and grown in a chemically defined medium reach a high degree of cellular differentiation and organisation, resembling, in many aspects, brain tissue in vivo. In addition, aggregate cultures containing either mixed brain cells or predominantly neurons can be obtained in relatively large amounts. Because of the unique features of this culture system, we examined its use for ischaemia-related investigations. Using biochemical and immunocytochemical criteria, we showed that, in these cultures, ischaemia could be simulated by a transient switch from rotatory to stationary culture conditions, which increased the medium-to-tissue glucose and oxygen gradients and thereby caused selective neuronal cell death. The extent of the ischaemia-induced damage correlated with the observed degree of glucose depletion, and a similar pattern of adverse effects was obtained by transient glucose restriction. Further investigations showed that these deleterious effects were attenuated by antagonists of either N-methyl-D-aspartic acid receptors or L-type voltage-gated calcium channels, as well as by chelation of extracellular Ca2+, in accordance with the view that the influx of extracellular Ca2+ is a critical event in ischaemia-induced neuronal cell death. In addition, the presence of astrocytes enhanced the detrimental effects of ischaemia or glucose restriction on neurons. Taken together, the results obtained so far indicate that aggregating brain cell cultures offer a useful in vitro model for studying brain ischaemia-related pathogenic mechanisms.",2000,,no
