Authors,Document Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,label,Other predictin,Page count,Cited by,DOI,PDF Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Wassilew S., Urbas L., Ladiges J., Fay A., Holm T.",Transformation of the NAMUR MTP to OPC UA to allow plug and produce for modular process automation,2016,"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",2016-November,,7733749,,,no,,,,10.1109/ETFA.2016.7733749,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996567187&doi=10.1109%2fETFA.2016.7733749&partnerID=40&md5=d9740e4e16367f6aa61ee50c3cc97b8d,"Technische UniversitÃ_t Dresden, Institute of Automation, Germany; Helmut-Schmidt-University, Institute of Automation Technology, Hamburg, Germany; Wago Kontakttechnik, Minden, Germany","Wassilew, S., Technische UniversitÃ_t Dresden, Institute of Automation, Germany; Urbas, L., Technische UniversitÃ_t Dresden, Institute of Automation, Germany; Ladiges, J., Helmut-Schmidt-University, Institute of Automation Technology, Hamburg, Germany; Fay, A., Helmut-Schmidt-University, Institute of Automation Technology, Hamburg, Germany; Holm, T., Wago Kontakttechnik, Minden, Germany","Modularization is considered as one enabler for flexible and highly reconfigurable process plants. These characteristics are needed to overcome deficiencies regarding market volatility and shorter product innovation cycles. Current standardization activities aim at the specification of Module Type Package (MTP) files as a semantic description of modules for fast and efficient integration into process control systems. To increase the plug and produce character of the approach, online discovery for modules has to be enabled. OPC UA is considered as a suitable industrial communication technology for the communication between modules and process control systems. Therefore, this paper presents an approach for the representation of MTPs in OPC UA in order to enable the online discovery of process modules. Â© 2016 IEEE.",decentralized intelligence; modular process automation; Module Type Package; NAMUR MTP; OPC UA,Conference Paper,Scopus,2-s2.0-84996567187
"Wang J., Wang S., Cui Q., Wang Q.",Local-based active classification of test report to assist crowdsourced testing,2016,ASE 2016 - Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,,,,190,201,no,,,,10.1145/2970276.2970300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989154013&doi=10.1145%2f2970276.2970300&partnerID=40&md5=8749b68a84d52bce8cb3e56ccbc7d5b0,"Laboratory for Internet Software Technologies, Institute of Software Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Computer Science, Institute of Software Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; Electrical and Computer Engineering, University of Waterloo, Canada","Wang, J., Laboratory for Internet Software Technologies, Institute of Software Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China; Wang, S., Electrical and Computer Engineering, University of Waterloo, Canada; Cui, Q., Laboratory for Internet Software Technologies, Institute of Software Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China; Wang, Q., Laboratory for Internet Software Technologies, Institute of Software Chinese Academy of Sciences, Beijing, China, State Key Laboratory of Computer Science, Institute of Software Chinese Academy of Sciences, Beijing, China, University of Chinese Academy of Sciences, Beijing, China","In crowdsourced testing, an important task is to identify the test reports that actually reveal fault true fault, from the large number of test reports submitted by crowd workers. Most existing approaches towards this problem utilized supervised machine learning techniques, which often require users to manually label a large amount of training data. Such process is time-consuming and labor-intensive. Thus, reducing the onerous burden of manual labeling while still being able to achieve good performance is crucial. Active learning is one potential technique to address this challenge, which aims at training a good classifier with as few labeled data as possible. Nevertheless, our observation on real industrial data reveals that existing active learning approaches generate poor and unstable performances on crowdsourced testing data. We analyze the deep reason and find that the dataset has significant local biases. To address the above problems, we propose LOcal-based Active ClassiFication (LOAF) to classify true fault from crowdsourced test reports. LOAF recommends a small portion of instances which are most informative within local neighborhood, and asks user their labels, then learns classifiers based on local neighborhood. Our evaluation on 14,609 test reports of 34 commercial projects from one of the Chinese largest crowdsourced testing platforms shows that our proposed LOAF can generate promising results. In addition, its performance is even better than existing supervised learning approaches which built on large amounts of labelled historical data. Moreover, we also implement our approach and evaluate its usefulness using real-world case studies. The feedbacks from testers demonstrate its practical value. Â© 2016 ACM.",Active Learning; Crowdsourced Testing; Test Report Classification,Conference Paper,Scopus,2-s2.0-84989154013
"Wang J., Qiao F., Zhao F., Sutherland J.W.",A Data-Driven Model for Energy Consumption in the Sintering Process,2016,"Journal of Manufacturing Science and Engineering, Transactions of the ASME",138,10,101001,,,no,,,,10.1115/1.4033661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976309718&doi=10.1115%2f1.4033661&partnerID=40&md5=9a23b418f89254ae60a2dd67b58f9a96,"School of Electronics and Information Engineering, Tongji University, 4800 Cao'an Road, Jiading District, Shanghai, China; School of Mechanical Engineering, Purdue University, West Lafayette, IN, United States; Environmental and Ecological Engineering, Purdue University, West Lafayette, IN, United States","Wang, J., School of Electronics and Information Engineering, Tongji University, 4800 Cao'an Road, Jiading District, Shanghai, China; Qiao, F., School of Electronics and Information Engineering, Tongji University, 4800 Cao'an Road, Jiading District, Shanghai, China; Zhao, F., School of Mechanical Engineering, Purdue University, West Lafayette, IN, United States, Environmental and Ecological Engineering, Purdue University, West Lafayette, IN, United States; Sutherland, J.W., Environmental and Ecological Engineering, Purdue University, West Lafayette, IN, United States","As environmental performance becomes increasingly important, the sintering process is receiving more attention since it consumes large amounts of energy. This paper proposes a data-driven model for sintering energy consumption, which considers both model accuracy and time efficiency. The proposed model begins with removing data anomalies using a local outlier factor (LOF) algorithm and an attribute selection module using the RReliefF method. Then, to accurately predict sintering energy consumption, an integrated predictive model is employed that uses bagging-enhanced extreme learning machine (ELM) and support vector regression (SVR) machine, combined with an entropy weight method. A case study is used to demonstrate the effectiveness of the proposed model using actual production data for a year. Results show that the proposed model outperforms other models and is computationally efficient. Optimal parameters of the LOF (1.3) and number of attributes (30) were identified. It was found that coke powder has the most significant impact on the solid energy consumption (SEC), while cooling water flow rate provides the most significant impact on the gas energy consumption (GEC) within each recorded attribute variation. Parametric analysis further revealed the relationships between energy consumption and the significant attributes mentioned above. It is suggested that the proposed model could effectively reduce the energy consumption by attaining more efficient attribute settings. Â© Copyright 2016 by ASME.",energy consumption; integrated prediction; sintering; sustainable manufacturing,Article,Scopus,2-s2.0-84976309718
Wang J.,Estimating system of project cost based on neural network,2015,"Proceedings - 2015 International Conference on Intelligent Transportation, Big Data and Smart City, ICITBS 2015",,,7384049,392,395,no,,,,10.1109/ICITBS.2015.103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963831411&doi=10.1109%2fICITBS.2015.103&partnerID=40&md5=f61e5ae0d520630c50d669bcbd5edb87,"Xinjiang Corps Xingxin Polytechnic, Urumqi, China","Wang, J., Xinjiang Corps Xingxin Polytechnic, Urumqi, China","Today, the subway has become an important means of transport. However, the huge construction project of subway has not yet formed a complete system in the budget. Taking Guangzhou Metro Line as an example, by BP neural network model, two evaluation model about station cost fees and range expenses were established. At the station costs, take the cost the station and extending into account. In the range of costs, take the range cost and the extending fees into account. In addition, the cost of subway basic data was normalized to the benefits of distributed data. The model will help to quickly conduct the subway cost budget evaluation. Â© 2016 IEEE.",BP; Construction; Cost budget; Extending fee; Neural network model; Subway,Conference Paper,Scopus,2-s2.0-84963831411
"Wang D.-D., Wang Q.",Improving the performance of defect prediction based on evolution data,2016,Ruan Jian Xue Bao/Journal of Software,27,12,,3014,3029,no,Defect prediction,,,10.13328/j.cnki.jos.004869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006304301&doi=10.13328%2fj.cnki.jos.004869&partnerID=40&md5=b8e449ce0ca38dd177a69c318a3ea8e7,"Laboratory for Internet Software Technologies, Institute of Software, The Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Computer Science, Institute of Software, The Chinese Academy of Sciences, Beijing, China","Wang, D.-D., Laboratory for Internet Software Technologies, Institute of Software, The Chinese Academy of Sciences, Beijing, China; Wang, Q., Laboratory for Internet Software Technologies, Institute of Software, The Chinese Academy of Sciences, Beijing, China, State Key Laboratory of Computer Science, Institute of Software, The Chinese Academy of Sciences, Beijing, China","It is an undisputed fact that software continues to evolve. Software evolution is caused by requirement changes which often result in injection of defects. Existing defect prediction techniques mainly focus on utilizing the attributes of software work products, such as documents, source codes and test cases, to predict defects. Consider an evolving software as a species and its development process as a natural species' evolutionary process, the injection of defects may have the characters of a species and will be impacted by its evolution. A great many of researchers have studied the process of software evolution and proposed some evolution related metrics. In this study, a set of new metrics is first proposed based on evolutionary history to characterize software evolution process, and then a case study on building defect prediction models is presented. Experiments on six well-known open source projects achieved good performance, demonstrating the effectiveness of the proposed metrics. Â© Copyright 2016, Institute of Software, the Chinese Academy of Sciences. All rights reserved.",Defect prediction; Evolution metrics; Software evolution,Article,Scopus,2-s2.0-85006304301
"Wang C.-C., Yang C.-H., Wang C.-S., Chang T.-R., Yang K.-J.",Feature recognition and shape design in sneakers,2016,Computers and Industrial Engineering,102,,,408,422,no,,,,10.1016/j.cie.2016.05.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973513694&doi=10.1016%2fj.cie.2016.05.003&partnerID=40&md5=b87f0b2d411c4fba8bf82c3561eede65,"Department of Multimedia and Game Science, Chung-Chou University of Science and Technology, Chung-Hwa, Taiwan; Department of Industrial Design, Tung-Hai University, Taichung, Taiwan; Department of Industrial Management, Nan-Kai University of TechnologyNan-Tou, Taiwan","Wang, C.-C., Department of Multimedia and Game Science, Chung-Chou University of Science and Technology, Chung-Hwa, Taiwan; Yang, C.-H., Department of Industrial Design, Tung-Hai University, Taichung, Taiwan; Wang, C.-S., Department of Industrial Design, Tung-Hai University, Taichung, Taiwan; Chang, T.-R., Department of Industrial Management, Nan-Kai University of TechnologyNan-Tou, Taiwan; Yang, K.-J., Department of Industrial Design, Tung-Hai University, Taichung, Taiwan","Due to the improvements associated with our modern lifestyle, both personal preferences and commercial market value should be considered when undertaking the challenge of new product development. Thus, a crucial research topic is how to design a customized product for consumers. In this study, a feature recognition and shape-design process for basketball sneakers was established that integrated Kansei engineering and artificial neural networks (ANNs), in combination with famous point guards in the National Basketball Association (NBA), as the basis for constructing a topological feature map for sneakers. We used questionnaires to get 20 fans in NBA games to assign a rating value in Kansei adjectives to evaluate 50 basketball shoes and to identify the top 10 NBA point guards. The fansâ€™ perspectives combined the psychological and physical scales for the top 10 point guards to establish a gross relationship between sneakers and the point guards. Based on competitive learning in the self-organizing map (SOM), the similarities of the inputs from the Kansei perspective concerning NBA point guards and sneakers can be reduced in their dimensions and grouped into six clusters. A back propagation network (BPN) is proposed to verify the mapping of sneakers onto point guards. The results were validated by comparing them with the target neurons based on SOM feature map. A MATLAB program was developed using SOM and BPN algorithms to verify the groups of sneakers accompanying the point guards. Then, the system can categorize the sneakers that match the players. A feature-based, shape-morphing process for the design of a new style of sneaker was implemented. A model to blend the features was constructed in SolidWorks CAD by choosing any two different shapes from the SOM map. This research was used to add the vast variety of shapes and design of sneakers from the selected SOM feature map to help designers create many different styles in a short period of time. Â© 2016 Elsevier Ltd",Back propagation network; Feature recognition; Kansei engineering; Self-organizing map; Shape design; Sneakers,Article,Scopus,2-s2.0-84973513694
"WÃ¶lfl A., Siegmund N., Apel S., Kosch H., Krautlager J., Weber-Urbina G.",Generating qualifiable avionics software: An experience report,2015,"Proceedings - 2015 30th IEEE/ACM International Conference on Automated Software Engineering, ASE 2015",,,7372061,726,736,no,,,1,10.1109/ASE.2015.35,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963811411&doi=10.1109%2fASE.2015.35&partnerID=40&md5=f188481f19640bf1408db99bfad6fa97,"University of Passau, Germany; Airbus Helicopters S.A.S., Germany","WÃ¶lfl, A., University of Passau, Germany; Siegmund, N., University of Passau, Germany; Apel, S., University of Passau, Germany; Kosch, H., University of Passau, Germany; Krautlager, J., Airbus Helicopters S.A.S., Germany; Weber-Urbina, G., Airbus Helicopters S.A.S., Germany","We report on our experience with enhancing the data-management component in the avionics software of the NH90 helicopter at Airbus Helicopters. We describe challenges regarding the evolution of avionics software by means of real-world evolution scenarios that arise in industrial practice. A key role plays a legally-binding certification process, called qualification, which is responsible for most of the development effort and cost. To reduce effort and cost, we propose a novel generative approach to develop qualifiable avionics software by combining model-based and product-line technology. Using this approach, we have already generated code that is running on the NH90 helicopter and that is in the process of replacing the current system code. Based on an interview with two professional developers at Airbus and an analysis of the software repository of the NH90, we systematically compare our approach with established development approaches in the avionics domain, in terms of implementation and qualification effort. Â© 2015 IEEE.",,Conference Paper,Scopus,2-s2.0-84963811411
"Vogel-Heuser B., Feldmann S., Folmer J., Rosch S., Heinrich R., Rostami K., Reussner R.",Architecture-Based Assessment and Planning of Software Changes in Information and Automated Production Systems State of the Art and Open Issues,2015,"Proceedings - 2015 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2015",,,7379262,687,694,no,,,,10.1109/SMC.2015.130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964433268&doi=10.1109%2fSMC.2015.130&partnerID=40&md5=e4f3c06ab84c9f397d897f1cc00d4aad,"Institute of Automation and Information Systems, Technische UniversitÃ_t MÃ¶nchen, Garching near Munich, Germany; Institute for Program Structures and Data Organization, Karlsruhe Institute of Technology, Karlsruhe, Germany","Vogel-Heuser, B., Institute of Automation and Information Systems, Technische UniversitÃ_t MÃ¶nchen, Garching near Munich, Germany; Feldmann, S., Institute of Automation and Information Systems, Technische UniversitÃ_t MÃ¶nchen, Garching near Munich, Germany; Folmer, J., Institute of Automation and Information Systems, Technische UniversitÃ_t MÃ¶nchen, Garching near Munich, Germany; Rosch, S., Institute of Automation and Information Systems, Technische UniversitÃ_t MÃ¶nchen, Garching near Munich, Germany; Heinrich, R., Institute for Program Structures and Data Organization, Karlsruhe Institute of Technology, Karlsruhe, Germany; Rostami, K., Institute for Program Structures and Data Organization, Karlsruhe Institute of Technology, Karlsruhe, Germany; Reussner, R., Institute for Program Structures and Data Organization, Karlsruhe Institute of Technology, Karlsruhe, Germany","Information and automated production systems are long-living, evolvable systems. Consequently, modifications are performed to correct, improve or adapt the respective system. We introduce different approaches to analyze maintainability of software-intensive systems and propose two different case studies from the information and from the automated production systems domain as a basis to validate approaches on system evolution. Â© 2015 IEEE.",Architecture; Evolution; Modeling; Modularity,Conference Paper,Scopus,2-s2.0-84964433268
Vitharana P.,Defect propagation at the project-level: results and a post-hoc analysis on inspection efficiency,2017,Empirical Software Engineering,22,1,,57,79,no,,,,10.1007/s10664-015-9415-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947744892&doi=10.1007%2fs10664-015-9415-3&partnerID=40&md5=cfcadb821029344ba841735a3707f069,"Whitman School of Management, Syracuse University, Syracuse, NY, United States","Vitharana, P., Whitman School of Management, Syracuse University, Syracuse, NY, United States","Inspections are increasingly utilized to enhance software quality. While the effectiveness of inspections in uncovering defects is widely accepted, there is a lack of research that takes a more holistic approach by considering defect counts from initial phases of the development process (requirements, design, and coding) and examining defect propagation where defect counts are aggregated to the project-level (i.e., application-level). Using inspection data collected from a large software development firm, this paper investigates the extent of defect propagation at the project-level during early lifecycle phases. I argue that defect propagation can be observed from the relationship between defects in the prior phase and the defects in the subsequent phase. Both Ordinary Least Squares and 3-Stage Least Squares analyses support the hypotheses on defect propagation. Moreover, results show that the inspection efficiency (defects per unit inspection time) decreases as the software product progresses from requirements to design to coding. A post-hoc analysis revealed further insights into inspection efficiency. In each phase, as the inspection time increased, efficiency reached an optimal point and then dropped off. In addition, a projectâ€™s inspection efficiency generally tends to remain stable from one phase to another. These insights offer managers means to assess inspections, their efficiency, and make adjustments to the time allotted to inspect projectâ€™s artifacts in both the current and the subsequent phase. Implications for managers and future research directions are discussed. Â© 2015, Springer Science+Business Media New York.",Coding; Defect propagation; Design; Inspections; Requirements; Software quality,Article,Scopus,2-s2.0-84947744892
"Vishnoi U., Meixner M., Noll T.G.",A Family of Modular QRD-Accelerator Architectures and Circuits Cross-Layer Optimized for High Area- and Energy-Efficiency,2016,Journal of Signal Processing Systems,83,3,,329,356,no,,,,10.1007/s11265-015-0976-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923059518&doi=10.1007%2fs11265-015-0976-6&partnerID=40&md5=50a98f0c8af83b9e25dc59c5229c1808,"Chair of Electrical Engineering and Computer Systems, RWTH Aachen University, Schinkelstrasse 2, Aachen, Germany","Vishnoi, U., Chair of Electrical Engineering and Computer Systems, RWTH Aachen University, Schinkelstrasse 2, Aachen, Germany; Meixner, M., Chair of Electrical Engineering and Computer Systems, RWTH Aachen University, Schinkelstrasse 2, Aachen, Germany; Noll, T.G., Chair of Electrical Engineering and Computer Systems, RWTH Aachen University, Schinkelstrasse 2, Aachen, Germany","QR-decomposition accelerators are attractive SoC components for many applications with a wide range of specifications. A new family of highly area- and energy-efficient, modular two-way linear-array QRD architectures based on the Givens algorithm and CORDIC rotations is proposed. The template architecture allows for implementations of real-/complex-valued and integer/floating-point QRDs. An accurate algebraic cost model enables cross-layer optimization over architecture, micro-architecture and circuit level using a rich set of parameters. Quantitative results for exemplary applications are presented for implementations in 40-nm CMOS, proving the significant improvement of efficiency. Â© 2015, Springer Science+Business Media New York.",Cross-layer optimization; Design space exploration; Early cost estimation; Matrix decomposition; QR-decomposition; QRD accelerators,Article,Scopus,2-s2.0-84923059518
Valdes-Souto F.,Creating a historical database for estimation using the EPCU approximation approach for COSMIC (ISO 19761),2016,"Proceedings - 2016 4th International Conference in Software Engineering Research and Innovation, CONISOFT 2016",,,7477926,159,166,no,,,,10.1109/CONISOFT.2016.32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978253145&doi=10.1109%2fCONISOFT.2016.32&partnerID=40&md5=9c587b32f19a52e7ccd7408017779db0,"Science Faculty, National Autonomous University of Mexico (UNAM), CDMX Mexico City, Mexico","Valdes-Souto, F., Science Faculty, National Autonomous University of Mexico (UNAM), CDMX Mexico City, Mexico","In the actual competitive software industry, software development organizations need a better and formal estimation approaches in order to increase the success rate of software projects. However, currently the estimation approach typically employed in industry is the expert judgment ('experience-based'). Using measures and estimations that continue to be based on researchers' intuition does not contribute to obtaining successful projects nor to mature software engineering. Any organization that aims to have or develop estimation approaches needs historical data, and the majority of the organizations do not have this information. Additionally acquisition of this information has expensive cost and time/effort consuming. This paper proposed the use of the EPCU approximation approach-that has demonstrated a several benefits-aiming to create a formal database with low cost and effort, that can be employed as a starting point to improve estimations in organizations without historical databases. Â© 2016 IEEE.",Approximate Sizing; COSMIC ISO 19761; EPCU Model; Estimation database; FSM; Functional Size,Conference Paper,Scopus,2-s2.0-84978253145
"Vahdani B., Razavi F., Mousavi S.M.",A high performing meta-heuristic for training support vector regression in performance forecasting of supply chain,2016,Neural Computing and Applications,27,8,,2441,2451,no,,,,10.1007/s00521-015-2015-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939624334&doi=10.1007%2fs00521-015-2015-8&partnerID=40&md5=35f63c95073f0997ed1f83a6b11fc794,"Faculty of Industrial and Mechanical Engineering, Qazvin Branch, Islamic Azad University, Qazvin, Iran; Department of Mechanical and Industrial Engineering, University of Toronto, Toronto, Canada; Industrial Engineering Department, Faculty of Engineering, Shahed University, Tehran, Iran","Vahdani, B., Faculty of Industrial and Mechanical Engineering, Qazvin Branch, Islamic Azad University, Qazvin, Iran; Razavi, F., Department of Mechanical and Industrial Engineering, University of Toronto, Toronto, Canada; Mousavi, S.M., Industrial Engineering Department, Faculty of Engineering, Shahed University, Tehran, Iran","The prevalence of the use of third-party logistics (3PL) providers is noticeable. The complexity of the relationships pertinent to 3PL is greater than that of any traditional logistics supplier relationships. Moreover, they can be considered as truly strategic alliances. The use of the mentioned relationships to increase the flexibility of the organization to address the rapid changes occurring in market conditions has become popular while these relationships concentrate on the core competencies as well as the development of long-term growth strategies. A good number of studies have examined the selection of service providers. With respect to the selection of the service providers, the most recent studies approved the better performance of neural networks in comparison with the conventional methods to provide a solution for the real-world engineering problems, one of the sociopolitically inspired optimization strategies named imperialist competitive algorithm (ICA) is used. In order to select the 3PL, integration of the support vector regression (SVR) and self-adaptive ICA (SAICA) has offered a novel model, in which SAICA is utilized to adjust the parameters of the SVR. The suggested model is applied for cosmetics production. Moreover, the comparison of the suggested model and back-propagation neural networks, pure SVR, and ICAâ€“SVR is presented. Higher estimation accuracy is achieved as the results of the proposed model reveal, which leads to the effective prediction. Â© 2015, The Natural Computing Applications Forum.",Cosmetics production; Imperialist competitive algorithm (ICA); Supply chain; Support vector regression,Article,Scopus,2-s2.0-84939624334
"Ur Rahman U., Hakeem O., Raheem M., Bilal K., Khan S.U., Yang L.T.",Nutshell: Cloud simulation and current trends,2015,"Proceedings - 2015 IEEE International Conference on Smart City, SmartCity 2015, Held Jointly with 8th IEEE International Conference on Social Computing and Networking, SocialCom 2015, 5th IEEE International Conference on Sustainable Computing and Communications, SustainCom 2015, 2015 International Conference on Big Data Intelligence and Computing, DataCom 2015, 5th International Symposium on Cloud and Service Computing, SC2 2015",,,7463705,77,86,no,,,,10.1109/SmartCity.2015.51,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973865951&doi=10.1109%2fSmartCity.2015.51&partnerID=40&md5=ebc817dc7661a85b686cf38e4efb177c,"Department of Computer Science, COMSATS Institute of Information Technology, Abbottabad, Pakistan; Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND, United States; Department of Computer Science, St. Francis Xavier University, Antigonish, Canada","Ur Rahman, U., Department of Computer Science, COMSATS Institute of Information Technology, Abbottabad, Pakistan; Hakeem, O., Department of Computer Science, COMSATS Institute of Information Technology, Abbottabad, Pakistan; Raheem, M., Department of Computer Science, COMSATS Institute of Information Technology, Abbottabad, Pakistan; Bilal, K., Department of Computer Science, COMSATS Institute of Information Technology, Abbottabad, Pakistan; Khan, S.U., Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND, United States; Yang, L.T., Department of Computer Science, St. Francis Xavier University, Antigonish, Canada","Cloud computing has experienced enormous popularity and adoption in many areas, such as research, medical, web, and e-commerce. Providers, like Amazon, Google, Microsoft, and Yahoo have deployed their cloud services for use. Cloud computing pay-as-you-go model, on demand scaling, and low maintenance cost has attracted many users. The widespread adoption of cloud paradigm upshots various challenges. The legacy data center and cloud architectures are unable to handle the escalating user demands. Therefore, new data center network architectures, policies, protocols and topologies are required. However, new solutions must be tested thoroughly, before deployment within a real production environment. As the experimentation and testing is infeasible in the production environment and real cloud setup, therefore, there is an indispensable need for simulation tools that provide ways to model and test applications, and estimate cost, performance, and energy consumption of services and application within cloud environment. Simulation tools providing cloud simulation environments currently are limited in terms of features and realistic cloud setups, focus on a particular problem domain, and require tool-specific modeling, which can be frustrating and time consuming. This paper aims to provide a detailed comparison of various cloud simulators, discuss various offered features, and highlight their strengths and limitations. Moreover, we also demonstrate our work on a new cloud simulator ""Nutshell"", which offers realistic cloud environments and protocols. The Nutshell is designed to diminish flaws and limitations of available cloud simulators, by offering: (a) multiple datacenter network architectures, like three-tier, fat-tree, and dcell, (b) fine grained network details, (c) realistic cloud traffic patterns, (d) congestion control strategies and analysis, (e) energy consumption, (f) cost estimation, and (g) data center monitoring and analysis. Flexibility to stretch the architectures to simulate smart city IT infrastructure. Â© 2015 IEEE.",Cloud computing; Cloud simulator; Datacenter architectures; Datacenter congestion control; Energy models; Simulation; Smart city; Traffic patterns,Conference Paper,Scopus,2-s2.0-84973865951
"Unterkalmsteiner M., Gorschek T., Feldt R., Lavesson N.",Large-scale information retrieval in software engineering - an experience report from industrial application,2016,Empirical Software Engineering,21,6,,2324,2365,no,,,,10.1007/s10664-015-9410-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946763269&doi=10.1007%2fs10664-015-9410-8&partnerID=40&md5=69007167c2520dffd075053ca5ed261c,"Department of Software Engineering, Blekinge Institute of Technology, ValhallavÃ_gen, Karlskrona, Sweden; Department of Computer Science and Engineering, Blekinge Institute of Technology, ValhallavÃ_gen 1, Karlskrona, Sweden","Unterkalmsteiner, M., Department of Software Engineering, Blekinge Institute of Technology, ValhallavÃ_gen, Karlskrona, Sweden; Gorschek, T., Department of Software Engineering, Blekinge Institute of Technology, ValhallavÃ_gen, Karlskrona, Sweden; Feldt, R., Department of Software Engineering, Blekinge Institute of Technology, ValhallavÃ_gen, Karlskrona, Sweden; Lavesson, N., Department of Computer Science and Engineering, Blekinge Institute of Technology, ValhallavÃ_gen 1, Karlskrona, Sweden","Software Engineering activities are information intensive. Research proposes Information Retrieval (IR) techniques to support engineers in their daily tasks, such as establishing and maintaining traceability links, fault identification, and software maintenance. We describe an engineering task, test case selection, and illustrate our problem analysis and solution discovery process. The objective of the study is to gain an understanding of to what extent IR techniques (one potential solution) can be applied to test case selection and provide decision support in a large-scale, industrial setting. We analyze, in the context of the studied company, how test case selection is performed and design a series of experiments evaluating the performance of different IR techniques. Each experiment provides lessons learned from implementation, execution, and results, feeding to its successor. The three experiments led to the following observations: 1) there is a lack of research on scalable parameter optimization of IR techniques for software engineering problems; 2) scaling IR techniques to industry data is challenging, in particular for latent semantic analysis; 3) the IR context poses constraints on the empirical evaluation of IR techniques, requiring more research on developing valid statistical approaches. We believe that our experiences in conducting a series of IR experiments with industry grade data are valuable for peer researchers so that they can avoid the pitfalls that we have encountered. Furthermore, we identified challenges that need to be addressed in order to bridge the gap between laboratory IR experiments and real applications of IR in the industry. Â© 2015, Springer Science+Business Media New York.",Data mining; Experiment; Information retrieval; Test case selection,Article,Scopus,2-s2.0-84946763269
"Ulonska S., Welo T.",On the use of product portfolio and variant maps as visualization tools to support platform-based development strategies,2016,Concurrent Engineering Research and Applications,24,3,,211,226,no,,,,10.1177/1063293X16654531,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983055625&doi=10.1177%2f1063293X16654531&partnerID=40&md5=1e0295bcb114650afc81dd1044850d6e,"Department of Engineering Design and Materials, Norwegian University of Science and Technology, Trondheim, Norway","Ulonska, S., Department of Engineering Design and Materials, Norwegian University of Science and Technology, Trondheim, Norway; Welo, T., Department of Engineering Design and Materials, Norwegian University of Science and Technology, Trondheim, Norway","Current implementation methodologies for platform-based development strategies presume that product variants are made clear and explicit prior to application. However, this might not be the case in many engineer-to-order companies where product variants typically emerge from individual developments over time, commonly without a predefined product strategy. Also, information related to different product variants is usually spread across multiple sources. This makes it difficult to identify the information on which a future configure-to-order strategy can be built. In this article, a systematic, visual approach to identify, analyze, and structure product variant information has been developed. A real-world, proof-of-concept demonstrator case has been defined to verify the proposed modeling approach applied to the unstructured product portfolio of a small- and medium-sized enterprise company that manufactures road signpost masts and gantries. The outcome is a product portfolio map that visualizes the product variants in the product family side by side, and a variant map that provides a closer overview of functional structure and related physical variants. Hence, these two maps combined provide a systemized overview of the product variants at different abstraction levels as a knowledge source. It is concluded that this study has demonstrated the potential of a step-by-step methodology for preparing a dispersed product portfolio as a basis for the implementation of a configure-to-order strategy. Â© The Author(s) 2016.",configure-to-order strategy; product platform; product portfolio mapping; product variant structuring; variant identification,Article,Scopus,2-s2.0-84983055625
