Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,label,Issue Date,Meeting Date,Publisher,Document Identifier
Information seeking in academic learning environments: an exploratory factor analytic approach to understanding design features,D. H. l. Goh; S. S. b. Foo; Y. l. Theng; S. s. Lee,"Nanyang Technological University, Singapore",Proceedings of the 6th ACM/IEEE-CS Joint Conference on Digital Libraries (JCDL '06),20070305,2006,,,335,335,"Traditional information retrieval (IR) systems perform retrieval by ""closely matching"" a query to a set of documents objectively without considering users' contexts. We aim to enhance objective relevance and address its limitations by taking a quantitative, subjective relevance (SR) approach. SR provides suitable theoretical underpinnings as it focuses on a document's relevance for users' needs. Our present work builds on an initial study where features supporting students' evaluations of subjective relevance of documents were elicited. Using digital libraries as an example of IR systems, we designed a survey form based on elicited SR features and conducted a quantitative, pilot study with 465 university students. The pilot study was exploratory and aimed to understand students' preferences for features as they completed a task in a digital library. Exploratory factor analysis (EFA) was used to analyze the data as it removed redundant features and identified relationships so that groups of important features supporting students' IR interactions could be discovered to provide rationale for designing IR interfaces supporting SR",,POD:1-59593-354-9,10.1145/1141753.1141831,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4119151,exploratory factor analysis;information retrieval;interface design;subjective relevance,Data mining;Feature extraction;Human factors;Information analysis;Information management;Information retrieval;Software libraries;Strontium;User centered design;User interfaces,academic libraries;digital libraries;information retrieval systems;relevance feedback;user interface management systems,academic learning environment;digital library;exploratory factor analytic approach;information retrieval system;information seeking;subjective relevance;user interface design,,0,,4,,no,11-15 June 2006,,IEEE,IEEE Conference Publications
InterJoin: Exploiting Indexes and Materialized Views in XPath Evaluation,D. Phillips; Ning Zhang; I. F. Ilyas; M. T. Ozsu,"University of Waterloo, Canada",18th International Conference on Scientific and Statistical Database Management (SSDBM'06),20060724,2006,,,13,22,"XML has become the standard for data exchange for a wide variety of applications, particularly in the scientific community. In order to efficiently process queries on XML representations of scientific data, we require specialized techniques for evaluating XPath expressions. Exploiting materialized views in query processing significantly enhances query processing performance. We propose a novel view definition that allows for intermediate (structural) join results to be stored and reused in XML query evaluation. Unlike current XML view proposals, our views do not require navigation in the original document or path-based pattern matching. Hence, they are evaluated significantly faster and are easily costed as part of a query plan. In general, current structural joins cannot exploit views efficiently when the view definition is not a prefix (or a suffix) of the XPath query. To increase the applicability of our proposed view definition, we propose a novel physical structural join operator called InterJoin. The InterJoin operator allows for joining interleaving XPath expressions, e.g., joining //A//C with //B to evaluate //A//B//C. InterJoin allows for more join alternatives in XML query plans. We propose several physical implementations for InterJoin, including a technique to exploit spatial indexes on the inputs. We give analytic cost models for the implementations so they can be costed in an existing XML query optimizer. Experiments on real and synthetic XML data show significant speed-ups of up to 200% using InterJoin, and speed-ups of up to 400% using our materialized views",1551-6393;15516393,POD:0-7695-2590-3,10.1109/SSDBM.2006.31,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1644293,,Application software;Books;Computer science;Interleaved codes;Navigation;Pattern matching;Proposals;Query processing;Spatial indexes;XML,XML;database indexing;query processing;scientific information systems;tree data structures,InterJoin;XML query evaluation;XML query optimizer;XPath evaluation;analytic cost models;data exchange;join operator;materialized views;path-based pattern matching;query processing;scientific community;spatial indexes,,2,,19,,no,0-0 0,,IEEE,IEEE Conference Publications
Kinematic scheme design based on design catalogue,D. Peisong; D. Ruicheng; Y. Shandong,"Shandong Univ. of Technol., Jinan",2006 7th International Conference on Computer-Aided Industrial Design and Conceptual Design,20070326,2006,,,1,4,"First of all the essential procedure of design catalogue is expatriated on. And the methods of function coding and mechanism coding are defined according to the features of function and mechanism. On this base, the function table and mechanism table including evaluation criteria are constructed. Then because different users have different interests in the importance of various evaluation criteria of function, a user's function table is set up to describe the user's function on one hand and the different authority of each evaluation criteria for different functions is acquired with AHP(analysis of hierarchy process) on the other hand. In addition the user's functions may be searched in mechanism solution table and the set of feasible solutions is obtained. At last the optimal solution is achieved with a fuzzy evaluation method. In terms of idea expressed above the software system kinematic based design catalogue is developed for kinematic design. Accordingly, a software system kinematic based on design catalogue is developed",,CD-ROM:1-4244-0684-6; POD:1-4244-0683-8,10.1109/CAIDCD.2006.329425,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4127054,,Agricultural engineering;Concrete;Design methodology;Job design;Kinematics;Man machine systems;Mechanical systems;Protection;Software systems;Turning,CAD;decision making;mechanical engineering computing,analytic hierarchy process;function coding;function table;fuzzy evaluation method;kinematic scheme design catalogue;mechanism coding;mechanism table,,0,,5,,no,17-19 Nov. 2006,,IEEE,IEEE Conference Publications
Knowledge discovery in high-dimensional data: case studies and a user survey for the rank-by-feature framework,Jinwook Seo; B. Shneiderman,"Children's Res. Inst., Washington, DC, USA",IEEE Transactions on Visualization and Computer Graphics,20060320,2006,12,3,311,322,"Knowledge discovery in high-dimensional data is a challenging enterprise, but new visual analytic tools appear to offer users remarkable powers if they are ready to learn new concepts and interfaces. Our three-year effort to develop versions of the hierarchical clustering explorer (HCE) began with building an interactive tool for exploring clustering results. It expanded, based on user needs, to include other potent analytic and visualization tools for multivariate data, especially the rank-by-feature framework. Our own successes using HCE provided some testimonial evidence of its utility, but we felt it necessary to get beyond our subjective impressions. This paper presents an evaluation of the hierarchical clustering explorer (HCE) using three case studies and an e-mail user survey (n=57) to focus on skill acquisition with the novel concepts and interface for the rank-by-feature framework. Knowledgeable and motivated users in diverse fields provided multiple perspectives that refined our understanding of strengths and weaknesses. A user survey confirmed the benefits of HCE, but gave less guidance about improvements. Both evaluations suggested improved training methods",1077-2626;10772626,,10.1109/TVCG.2006.50,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1608018,Information visualization evaluation;case study;hierarchical clustering explorer.;rank-by-feature framework;user survey,Computer Society;Computer aided software engineering;Data analysis;Data visualization;Genomics;Histograms;Scattering;Testing;Visual analytics,data mining;data visualisation;database management systems;interactive systems;user interfaces,e-mail user survey;hierarchical clustering explorer;high-dimensional data;interactive tool;knowledge discovery;multivariate data;rank-by-feature framework;user interface;visual analytic tools;visualization tools,"Algorithms;Artificial Intelligence;Cluster Analysis;Computer Graphics;Computer Simulation;Imaging, Three-Dimensional;Models, Theoretical;Oligonucleotide Array Sequence Analysis;User-Computer Interface",26,,27,,no,May-June 2006,,IEEE,IEEE Journals & Magazines
Low-cost static performance prediction of parallel stochastic task compositions,H. Gautama; A. J. C. van Gemund,"Stat. Inf. Syst., Stat. Indonesia, Jakarta, Indonesia",IEEE Transactions on Parallel and Distributed Systems,20051205,2006,17,1,78,91,"Current analytic solutions to the execution time distribution of a parallel composition of tasks having stochastic execution times are computationally complex, except for a limited number of distributions. In this paper, we present an analytical solution based on approximating execution time distributions in terms of the first four statistical moments. This low-cost approach allows the parallel execution time distribution to be approximated at ultra-low solution complexity for a wide range of execution time distributions. The accuracy of our method is experimentally evaluated for synthetic distributions as well as for task execution time distributions found in real parallel programs and kernels (NAS-EP, SSSP, APSP, Splash2-Barnes, PSRS, and WATOR). Our experiments show that the prediction error of the mean value of the parallel execution time for N-ary parallel composition is in the order of percents, provided the task execution time distributions are sufficiently independent and unimodal.",1045-9219;10459219,,10.1109/TPDS.2006.13,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1549817,Performance prediction;stochastic graphs;workload distribution.,Bandwidth;Communication system control;Computer Society;Concurrent computing;Distributed computing;Information analysis;Kernel;Performance analysis;Processor scheduling;Stochastic processes,computational complexity;parallel programming;software performance evaluation;statistical distributions;stochastic processes,N-ary parallel composition;low-cost static performance prediction;parallel execution time distribution;parallel programs;parallel stochastic task composition;statistical moments;task execution time distributions,,6,,41,,no,Jan. 2006,,IEEE,IEEE Journals & Magazines
Low-power buffer management using hybrid control,J. Ridenour; Jianghai Hu; Yung-Hsiang Lu,"Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA",2006 American Control Conference,20060724,2006,,,6 pp.,,"The power management problem is studied for a pipeline of streaming data consisting of multiple stages with buffer memories inserted between adjacent stages. The objective is to find the optimal strategy for dynamically changing the power states of the stages so that the power consumption of the overall system is minimized. By modeling the pipeline as a hybrid system, we derive various necessary conditions for the optimal solutions. In particular, an operation called folding is introduced that can improve the performance of an existing strategy. Analytic conditions are derived for determining whether folding can save power and the optimal number of folds",0743-1619;07431619,Electronic:1-4244-0210-7; POD:1-4244-0209-3,10.1109/ACC.2006.1656626,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1656626,,Application software;Buffer storage;Computer networks;Energy consumption;Energy management;Information retrieval;Pipelines;Power system management;Power system modeling;Turning,buffer storage,buffer memory;hybrid control;hybrid system;low-power buffer management;optimal strategy;pipeline modeling;power consumption minimization;power management;streaming data pipeline,,1,,15,,no,14-16 June 2006,,IEEE,IEEE Conference Publications
Manufacturing Execution Systems (MES) assessment and investment decision study,L. Chao; Li Qing,"Department of Automation, Tsinghua University, Beijing, China. Telephone: 13811645065; e-mail: liang-c04@mails.tsinghua.edu.cn","2006 IEEE International Conference on Systems, Man and Cybernetics",20070716,2006,6,,5285,5290,"Manufacturing execution systems (MES), a category of industrial software for the manufacturing environment, is grasping increasing attention, due to its unique ability to improve manufacturing performance, and then to have a positive impact on the financial performance of the company. For many executives, whether to implement MES to improve manufacturing and financial performance is an issue they must encounter. Since what MES brings about are not only benefits and potential opportunities, but also costs and potential risks, a comprehensive and systematic assessment is absolutely necessary before making such a critical investment decision. This paper proposes a decision methodology for MES investment decision making. In addition, a general decision model with respect to Benefits, Opportunities, Costs and Risks merits is provided. The decision methodology and decision model are validated by an undershirt manufacturer in China, by applying analytic network process (ANP) method.",1062-922X;1062922X,CD-ROM:1-4244-0100-3; POD:1-4244-0099-6,10.1109/ICSMC.2006.385148,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4274757,ANP;BOCR;Manufacture Execution systems;assessment;decision,Chaos;Computer industry;Costs;Decision making;Investments;Manufacturing automation;Manufacturing industries;Personnel;Software performance;Virtual manufacturing,decision making;investment;manufacturing systems,analytic network process method;comprehensive assessment;critical investment decision;decision methodology;industrial software;investment decision making;manufacturing execution systems assessment;systematic assessment,,1,,26,,no,8-11 Oct. 2006,,IEEE,IEEE Conference Publications
Modelling and Improving Group Communication in Server Operating Systems,M. Kwok; T. Brecht; M. Karsten; Jialin Song,"University of Waterloo, Canada","14th IEEE International Symposium on Modeling, Analysis, and Simulation",20061016,2006,,,207,217,"virtual environment (DVE) have become increasingly popular. Many DVE implementations use a client-server architecture that requires the server to send the same data to all members of a collaborating or interacting group. This type of group communication operation is often implemented by sending data from the server to each recipient in a unicast fashion. The problem with this approach is that the cost of communication at the server does not scale very well with the number of participants because the application requires significant interaction with the operating system, network stack and drivers for each individual send. In this paper, we first propose a general analytic framework for predicting how group communication performance impacts DVE server capacity. We then conduct an experimental evaluation to determine the extent to which using a kernel-based group communication mechanism reduces the cost of group send operations. Lastly, we use the measurements obtained from these experiments to demonstrate how to apply the analytic framework by determining the extent to which the kernel-based group communication mechanism permits example applications to scale to more users.",1526-7539;15267539,POD:0-7695-2573-3,10.1109/MASCOTS.2006.32,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1698552,,Application software;Computer architecture;Computer science;Costs;Internet;Network servers;Operating systems;Performance analysis;Videoconference;Virtual environment,,,,0,,28,,no,11-14 Sept. 2006,,IEEE,IEEE Conference Publications
NetLens: Iterative Exploration of Content-Actor Network Data,H. Kang; C. Plaisant; B. Lee; B. B. Bederson,"University of Maryland Institute for Advanced Computer Studies, kang@cs.umd.edu",2006 IEEE Symposium On Visual Analytics Science And Technology,20061226,2006,,,91,98,"Networks have remained a challenge for information retrieval and visualization because of the rich set of tasks that users want to accomplish. This paper offers an abstract content-actor network data model, a classification of tasks, and a tool to support them. The NetLens interface was designed around the abstract content-actor network data model to allow users to pose a series of elementary queries and iteratively refine visual overviews and sorted lists. This enables the support of complex queries that are traditionally hard to specify. NetLens is general and scalable in that it applies to any dataset that can be represented with our abstract data model. This paper describes NetLens applying a subset of the ACM Digital Library consisting of about 4,000 papers from the CM I conference written by about 6,000 authors. In addition, we are now working on a collection of half a million emails, and a dataset of legal cases",,CD-ROM:1-4244-0592-0; POD:1-4244-0591-2,10.1109/VAST.2006.261426,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4035752,Human-Computer Interaction;content-actor network data;digital library;incremental data exploration;information visualization;iterative query refinement;network visualization;piccolo;user interfaces,Data models;Data visualization;Displays;Graphical user interfaces;Laboratories;Law;Legal factors;Software libraries;User interfaces;Visual analytics,data models;data visualisation;digital libraries;graphical user interfaces,NetLens interface;abstract data model;content-actor network data;digital library;human-computer interaction;incremental data exploration;information retrieval;information visualization;iterative query refinement;network visualization;piccolo,,8,,29,,no,Oct. 31 2006-Nov. 2 2006,,IEEE,IEEE Conference Publications
Numerical Studies of Curved-walled Micro Nozzle/Diffuser,Y. T. Chen; C. C. Hsu; M. C. Chang; S. W. Kang,"Department of Mechanical Engineering, De Lin Institute of Technology, Taipei, Taiwan",2006 1st IEEE International Conference on Nano/Micro Engineered and Molecular Systems,20070319,2006,,,841,845,"In this study, commercially available software CFD was adopted for analyzing the performance of straight-walled and curved-walled micro nozzle/diffuser. Such nozzle/diffuser was used in valve-less micro-pumps. This model tested different types of nozzle/diffuser and the results showed that the pressure loss coefficient for nozzle/diffuser decreases with the increase of Reynolds number. At the same Reynolds number, the pressure loss coefficient for nozzle is higher than that of the diffuser. At a given volumetric flow rate, the pressure loss coefficient and ratio of pressure loss coefficient for curved-walled nozzle/diffuser are slightly higher than that of the straight-walled nozzle/diffuser. In this study, the numerical data was found good agreement with previous analytic solution and experimental results.",,CD-ROM:1-4244-0140-2; POD:1-4244-0139-9,10.1109/NEMS.2006.334908,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4135081,Diffuser;Fluent;Nozzle;Pressure loss coefficient;Reynolds number,Computational fluid dynamics;Differential equations;Fabrication;Micropumps;Performance analysis;Performance loss;Pumps;Software performance;Systems engineering and theory;Testing,computational fluid dynamics;diffusion;flow;nozzles,CFD software;Reynolds number;curved-walled micro nozzle;diffuser;pressure loss coefficient;valve-less micro-pumps,,0,,6,,no,18-21 Jan. 2006,,IEEE,IEEE Conference Publications
On discretizing linear passive controllers,R. Costa-Castello; E. Fossas,"Inst. d'Organitzacio i Control de Sistemes industrials, Univ. Politecnica de Catalunya, Barcelona, Spain",2006 IEEE International Symposium on Circuits and Systems,20060911,2006,,,4 pp.,838,"In this work a new methodology which allows to discretize linear continuous-time passivity based controller is presented. This methodology is based on choosing a proper output, which preserves the passivity structure, while keeping the continuous-time energy function. Analytic formulation and a numerical example are provided in the paper",0271-4302;02714302,POD:0-7803-9389-9,10.1109/ISCAS.2006.1692715,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1692715,Digital Control;Passivity;Preserving Passivity,Application software;Control systems;Damping;Data systems;Digital control;Linear systems;Open loop systems;Sampling methods;Stability,continuous time systems;controllers;discrete time systems,continuous-time energy function;continuous-time passivity based controller;digital control;linear passive controller;passivity structure,,1,,10,,no,21-24 May 2006,,IEEE,IEEE Conference Publications
On the asymptotic performance analysis of subspace DOA estimation in the presence of modeling errors: case of MUSIC,A. Ferreol; P. Larzabal; M. Viberg,"THALES Commun., Colombes, France",IEEE Transactions on Signal Processing,20060221,2006,54,3,907,920,"This paper provides a new analytic expression of the bias and RMS error (root mean square) error of the estimated direction of arrival (DOA) in the presence of modeling errors. In , first-order approximations of the RMS error are derived, which are accurate for small enough perturbations. However, the previously available expressions are not able to capture the behavior of the estimation algorithm into the threshold region. In order to fill this gap, we provide a second-order performance analysis, which is valid in a larger interval of modeling errors. To this end, it is shown that the DOA estimation error for each signal source can be expressed as a ratio of Hermitian forms, with a stochastic vector containing the modeling error. Then, an analytic expression for the moments of such a Hermitian forms ratio is provided. Finally, a closed-form expression for the performance (bias and RMS error) is derived. Simulation results indicate that the new result is accurate into the region where the algorithm breaks down.",1053-587X;1053587X,,10.1109/TSP.2005.861798,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1597557,Calibration;MUSIC;direction of arrival (DOA) estimation;modeling errors;performance analysis,Closed-form solution;Computer aided software engineering;Direction of arrival estimation;Error analysis;Estimation error;Multiple signal classification;Performance analysis;Random variables;Root mean square;Stochastic processes,Hermitian matrices;direction-of-arrival estimation;mean square error methods,Hermitian forms;MUSIC;asymptotic performance analysis;chaotic vector;direction of arrival;root mean square error;second-order performance analysis;subspace DOA estimation,,42,,21,,no,6-Mar,,IEEE,IEEE Journals & Magazines
Partner Selection and Evaluation in Agile Virtual Enterprise Based upon TFN-AHP Model,J. Cao; G. Zhou,"Institute of Information Intelligence & Decision-making Optimization, Zhejiang University of Technology, Hangzhou, P.R. China; Institute of Industrial Process Control, Zhejiang University, Hangzhou, P.R. China. jcao@iipc.zju.edu.cn",2006 10th International Conference on Computer Supported Cooperative Work in Design,20061204,2006,,,1,6,"To solve some problems caused by the analytic hierarchy process (AHP) or other fuzzy-AHP approaches to partner selection and evaluation in the formation of agile virtual enterprises, a model based on the AHP and basic theory of the trigonometrical fuzzy number (TFN) was given and corresponding evaluation process was described. Compared with the AHP, the proposed model combines subjective analysis with quantitative analysis more reasonably, synthesizes group opinions more adequately. The model derives priorities from TFN-based judgment matrices effectively, regardless of their inconsistency. In addition, the model can be programmed easily due to its simple, normative arithmetic formulas. The results of a case study on selecting suppliers in an agile virtual enterprise indicate that, by applying the model-based software system, not only fair and reasonable conclusions, but also the consistent degree of opinions provided by different experts can be acquired clearly",,CD-ROM:1-4244-0165-8; POD:1-4244-0164-X,10.1109/CSCWD.2006.253009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4019045,Agile Virtual Enterprise;Analytic Hierarchy Process;Logarithmic Least Squares Method;Partner Selection;Trigonometrical Fuzzy Number,Agile manufacturing;Collaborative work;Computer industry;Decision making;Design optimization;Fuzzy control;Industrial control;Least squares methods;Process control;Virtual enterprises,agile manufacturing;distributed decision making;fuzzy set theory;matrix algebra;supply chain management;virtual enterprises,TFN-AHP model;TFN-based judgment matrices;agile virtual enterprise;fuzzy analytic hierarchy process;group decision making;model-based software system;normative arithmetic formula;partner selection;trigonometrical fuzzy number,,2,,13,,no,3-5 May 2006,,IEEE,IEEE Conference Publications
Performance analysis of the FastICA algorithm and Crameå«r-rao bounds for linear independent component analysis,P. Tichavsky; Z. Koldovsky; E. Oja,"Inst. of Inf. Theor. & Autom., Acad. of Sci. of the Czech Republic, Prague, Czech Republic",IEEE Transactions on Signal Processing,20060320,2006,54,4,1189,1203,"The FastICA or fixed-point algorithm is one of the most successful algorithms for linear independent component analysis (ICA) in terms of accuracy and computational complexity. Two versions of the algorithm are available in literature and software: a one-unit (deflation) algorithm and a symmetric algorithm. The main result of this paper are analytic closed-form expressions that characterize the separating ability of both versions of the algorithm in a local sense, assuming a ""good"" initialization of the algorithms and long data records. Based on the analysis, it is possible to combine the advantages of the symmetric and one-unit version algorithms and predict their performance. To validate the analysis, a simple check of saddle points of the cost function is proposed that allows to find a global minimum of the cost function in almost 100% simulation runs. Second, the Crameå«r-Rao lower bound for linear ICA is derived as an algorithm independent limit of the achievable separation quality. The FastICA algorithm is shown to approach this limit in certain scenarios. Extensive computer simulations supporting the theoretical findings are included.",1053-587X;1053587X,,10.1109/TSP.2006.870561,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1608537,Blind source separation;CramÌär‰ÛÒRao lower bound;independent component analysis (ICA),Algorithm design and analysis;Analytical models;Closed-form solution;Computational complexity;Computational modeling;Cost function;Independent component analysis;Performance analysis;Prediction algorithms;Software algorithms,blind source separation;independent component analysis,Cramer-Rao bounds;cost function;deflation algorithm;fastICA algorithm;fixed-point algorithm;linear independent component analysis;one-unit version algorithm;symmetric algorithm,,62,,33,,no,6-Apr,,IEEE,IEEE Journals & Magazines
Performance evaluation and modeling in Grid Resource Management,Y. Liu; Y. Jian,"Chongqing University of Posts and Telecommunications, China; UEST of China, China",2006 Fifth International Conference on Grid and Cooperative Computing (GCC'06),20061219,2006,,,335,338,"Grid resource management is regarded as an important component of a grid computing system. The resources in the grid are geographically distributed, heterogeneous in nature, owned by different individuals/organizations each having their own resource management policies and different access-and-cost models. Based on abstract owner model, this article proposes a new resource storage model called resource pool which couples geographically distributed resource together. Meanwhile, this paper uses queuing and global optimization theory as tools to emphasize on quantitative analysis for resource pool capacity. Consequently, some new analytic formula for practical computation is obtained. Furthermore, an algorithm for analytic formulas is introduced into global optimization to evaluate the performance",2160-4908;21604908,POD:0-7695-2694-2,10.1109/GCC.2006.71,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031478,,Algorithm design and analysis;Computer networks;Computer science;Distributed computing;Grid computing;High performance computing;IP networks;Performance analysis;Queueing analysis;Resource management,grid computing;optimisation;queueing theory;resource allocation;software performance evaluation,abstract owner model;analytic formula algorithm;distributed resources;global optimization theory;grid computing;grid resource management;performance evaluation;queuing theory;resource pool;resource storage model,,2,,7,,no,Oct. 2006,,IEEE,IEEE Conference Publications
Quantitative system design,M. K. Vernon,"Wisconsin Univ., USA",2006 IEEE International Symposium on Performance Analysis of Systems and Software,20060418,2006,,,130,,"Summary form only given. This talk provides a 20-year perspective on the use of analytic models to design of a wide range of commercially important architectures and systems with complex behavior. These systems include resources with highly bursty and/or correlated packet arrivals, communication protocols with complex routing and blocking of messages, resources that are configured for a very high probability (e.g., 0.9999) of providing immediate service to each arriving client, and complex large-scale grid/Internet applications. The examples illustrate some guiding principles for model development, and show that the models can be relatively easy to develop. More importantly, the models can be highly accurate - often more accurate than simulation, and sometimes more accurate than the system implementation! The examples also illustrate that the models can provide unique insight into system design as well as significant new system functionality. In other words, analytic models are a key tool for competitive systems engineering. Time permitting, the talk includes some important observations about workload models, and some ways to avoid key pitfalls in simulation.",,POD:1-4244-0186-0,10.1109/ISPASS.2006.1620797,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1620797,,,computer networks;message passing;packet switching;protocols,analytic models;client large-scale Internet applications;commercially important architectures;commercially important systems;communication protocols;competitive systems engineering;complex behavior;complex large-scale grid applications;complex message routing;correlated packet arrivals;highly bursty packet arrivals;message blocking;quantitative system design;workload models,,0,,,,no,19-21 March 2006,,IEEE,IEEE Conference Publications
Repetitive Controller Design for Track Following of Hard Disk Drive Servo System,W. Yilei; D. Mingzhong; O. KianKeong; D. Chenyang,"Seagate Technology International, 63, The Fleming, Science Park Drive, Singapore 118249. Email: Yilei.Wu@Seagate.com","2006 9th International Conference on Control, Automation, Robotics and Vision",20070716,2006,,,1,4,"Recently repetitive controller has been applied in servo systems of hard disk drives (HDD) to remove the repeatable errors caused by rotating mechanism of spindle motors. However, most results of published articles are too complex to be implemented in industrial applications. In this paper, we present an improved design strategy for repetitive control of HDD by minimizing the power spectral density (PSD) of PES. An analytic solution is given with tolerable computation requirements and can be evaluated by software, even assembly languages. Simulations of track following of HDD servo are carried out based upon the theoretical derivations. The result shows that compared to single PID control, the proposed controller improves the performance of steady state response",,CD-ROM:1-4214-042-1; POD:1-4244-0341-3,10.1109/ICARCV.2006.345434,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4150381,hard disk drive;optimization;repetitive controller,Application software;Assembly;Computational modeling;Control systems;Electrical equipment industry;Error correction;Hard disks;Servomechanisms;Servomotors;Three-term control,control system synthesis;disc drives;hard discs;minimisation;position control;stability,hard disk drive servo system;power spectral density minimization;repetitive controller design;rotating mechanism;spindle motors;track following,,0,,9,,no,5-8 Dec. 2006,,IEEE,IEEE Conference Publications
Requirements elicitation through model-driven evaluation of software components,L. Chung; Weimin Ma; K. Cooper,"Dept. of Comput. Sci., Texas Univ., Dallas, TX, USA",Fifth International Conference on Commercial-off-the-Shelf (COTS)-Based Software Systems (ICCBSS'05),20060306,2006,,,10 pp.,,"The use of software components is perceived to significantly shorten development time and cost, while improving quality, in developing a large, complex software system. A key premise to this perception seems to be the ability to effectively search, match, rank, and select software components, during the requirements engineering process. In this paper, we present a technique for eliciting requirements by using model-driven evaluation of software components, where the evaluation revolves around ""models"" of software components and ""models"" of the component-based application (CBA). As part of our ongoing project, component-aware requirements engineering (CARE), this model-driven evaluation technique is intended to match the models of the stakeholders' needs for the component-based application against the models of the capabilities of the set of components that are currently available. More specifically, this technique allows for an integrated use of several searching/matching techniques, such as keyword-based search, case-based reasoning (CBR) and analytic hierarchy process (AHP), in evaluating models of components' requirements against models of the requirements of the stakeholders of the CBA being elicited incrementally. The model-driven evaluation technique is illustrated using a home appliance control system (HACS) example.",,POD:0-7695-2515-6,10.1109/ICCBSS.2006.24,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1595762,,Application software;Computer architecture;Computer science;Control system synthesis;Costs;Embedded software;Home appliances;Software quality;Software systems;Testing,formal specification;formal verification;object-oriented programming;software performance evaluation;software quality,analytic hierarchy process;case-based reasoning;component aware requirements engineering;component-based application;home appliance control system;keyword-based search;matching technique;model-driven evaluation;searching technique;software component,,1,,26,,no,13-16 Feb. 2006,,IEEE,IEEE Conference Publications
Resource management with stateful support for analytic applications,L. L. Fong; C. H. Crawford; H. Shaikh,"IBM T. J. Watson Res. Center, Yorktown Heights, NY, USA",Proceedings 20th IEEE International Parallel & Distributed Processing Symposium,20060626,2006,,,8 pp.,,"Analytic applications from various industrial sectors have specific attributes and requirements including relatively long processing time, parallelization, multiple interactive invocations, Web services, and expected quality of service objectives. Current parallel resource management systems for batch-oriented jobs lack the effective support for multiple interactive invocations with consideration in quality of service objectives, while transaction processing systems do not support dynamic creation of parallel application instances. To better serve the analytic applications, a set of additional resource management services, defined as stateful support, introduces the concept of service instance and service instance management. This set of stateful support services can be implemented as extension to existing parallel resource management to serve these analytic applications that rapidly increase in the demand of computing power",1530-2075;15302075,POD:1-4244-0054-6,10.1109/IPDPS.2006.1639695,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1639695,,Application software;Cost function;Grid computing;Parallel processing;Portfolios;Power system management;Quality of service;Resource management;Vehicle dynamics;Web services,parallel processing;resource allocation,analytic application;batch-oriented jobs;parallel application;parallel resource management system;quality of service;service instance management;stateful support services,,1,,23,,no,25-29 April 2006,,IEEE,IEEE Conference Publications
