Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Book of Abstracts ESMRMB 2004: 21st Annual Scientific Meeting Copenhagen/DK, Sept. 9-12, 2004","Magnetic Resonance Materials in Physics, Biology and Medicine","","17","1","10.1007/s10334-004-0046-8","","2004","http://link.springer.com/article/10.1007/s10334-004-0046-8","Article"
"ESMRMB 2006. 23rd Annual Scientific Meeting Warsaw/PL, Sept. 21–23, 2006—Abstracts","Magnetic Resonance Materials in Physics, Biology and Medicine","","19","1","10.1007/s10334-006-0043-1","","2006","http://link.springer.com/article/10.1007/s10334-006-0043-1","Article"
"Erratum to: A Segment-Based SACK Scheme for TCP Over the Error-Prone Links","Wireless Personal Communications","","61","2","10.1007/s11277-010-0160-z","Lin CuiXin CuiWoo Jin Lee","2011","http://link.springer.com/article/10.1007/s11277-010-0160-z","Article"
"Investigation of relationship between object-oriented metrics and change proneness","International Journal of Machine Learning and Cybernetics","","4","4","10.1007/s13042-012-0095-7","Ruchika MalhotraMegha Khanna","2013","http://link.springer.com/article/10.1007/s13042-012-0095-7","Article"
"The Effectiveness of Test in Controlling Quality Costs: A Conformability Analysis Based Approach","Journal of Electronic Testing","","23","4","10.1007/s10836-006-0711-0","J. M. GilbertI. M. Bell","2007","http://link.springer.com/article/10.1007/s10836-006-0711-0","Article"
"Supporting visual quality assessment with machine learning","EURASIP Journal on Image and Video Processing","","2013","1","10.1186/1687-5281-2013-54","Paolo GastaldoRodolfo ZuninoJudith Redi","2013","http://link.springer.com/article/10.1186/1687-5281-2013-54","Article"
"Book of Abstracts ESMRMB 2005 22nd Annual Scientific Meeting Basle/CH, Sept. 15-18, 2005","Magnetic Resonance Materials in Physics, Biology and Medicine","","18","1","10.1007/s10334-005-0002-2","","2005","http://link.springer.com/article/10.1007/s10334-005-0002-2","Article"
"Fault-Tolerant Computer-Aided Control Systems with Multiversion-Threshold Adaptation: Adaptation Methods, Reliability Estimation, and Choice of an Architecture","Automation and Remote Control","","63","6","10.1023/A:1016130108770","V. V. SklyarV. S. Kharchenko","2002","http://link.springer.com/article/10.1023/A%3A1016130108770","Article"
"Advanced predictive quality control strategy involving different facilities","The International Journal of Advanced Manufacturing Technology","","67","5 - 8","10.1007/s00170-012-4562-9","Joaquín Ordieres-MeréAna González-MarcosFernando Alba-ElíasCésar Menéndez-Fernández","2013","http://link.springer.com/article/10.1007/s00170-012-4562-9","Article"
"Decision-making in detecting and diagnosing faults of multivariate statistical quality control systems","The International Journal of Advanced Manufacturing Technology","","42","7 - 8","10.1007/s00170-008-1636-9","Seyed Taghi Akhavan NiakiMohammad Saber Fallah Nezhad","2009","http://link.springer.com/article/10.1007/s00170-008-1636-9","Article"
"A framework for reliability-aware design exploration on MPSoC based systems","Design Automation for Embedded Systems","","16","4","10.1007/s10617-013-9105-6","Jia HuangAndreas RaabeKai HuangChristian BucklAlois Knoll","2012","http://link.springer.com/article/10.1007/s10617-013-9105-6","Article"
"Wireless image sensor networks: event acquisition in attack-prone and uncertain environments","Multidimensional Systems and Signal Processing","","20","2","10.1007/s11045-008-0071-2","Alexandra CzarlinskaDeepa Kundur","2009","http://link.springer.com/article/10.1007/s11045-008-0071-2","Article"
"A computer-integrated FMEA for dynamic supply chains in a flexible-based environment","The International Journal of Advanced Manufacturing Technology","","59","5 - 8","10.1007/s00170-011-3526-9","Lu GanJiuping XuBernard T. Han","2012","http://link.springer.com/article/10.1007/s00170-011-3526-9","Article"
"A Simulated Annealing Inspired Test Optimization Method for Enhanced Detection of Highly Critical Faults and Defects","Journal of Electronic Testing","","29","3","10.1007/s10836-013-5357-0","Yiwen ShiJennifer Dworak","2013","http://link.springer.com/article/10.1007/s10836-013-5357-0","Article"
"Improve the Quality of Per-Test Fault Diagnosis Using Output Information","Journal of Electronic Testing","","23","1","10.1007/s10836-006-9442-5","Chunsheng Liu","2007","http://link.springer.com/article/10.1007/s10836-006-9442-5","Article"
"Fault Modeling and Simulation of Power Supply Voltage Transients in Digital Systems on a Chip","Journal of Electronic Testing","","21","4","10.1007/s10836-005-0972-z","D. Barros JúniorM. Rodriguez-IragoM. B. SantosI. C. TeixeiraF. VargasJ. P. Teixeira","2005","http://link.springer.com/article/10.1007/s10836-005-0972-z","Article"
"Fault Diagnosis in Lab-on-Chip Using Digital Microfluidic Logic Gates","Journal of Electronic Testing","","27","1","10.1007/s10836-010-5190-7","Yang ZhaoKrishnendu Chakrabarty","2011","http://link.springer.com/article/10.1007/s10836-010-5190-7","Article"
"Current status of machine prognostics in condition-based maintenance: a review","The International Journal of Advanced Manufacturing Technology","","50","1 - 4","10.1007/s00170-009-2482-0","Ying PengMing DongMing Jian Zuo","2010","http://link.springer.com/article/10.1007/s00170-009-2482-0","Article"
"Hard-Fault Detection and Diagnosis During the Application of Model-Based Data Converter Testing","Journal of Electronic Testing","","23","6","10.1007/s10836-007-5050-2","Carsten WegenerMichael Peter Kennedy","2007","http://link.springer.com/article/10.1007/s10836-007-5050-2","Article"
"ESMRMB 2006. 23rd Annual Scientific Meeting Warsaw/PL, September 21–23, 2006—Abstracts","Magnetic Resonance Materials in Physics, Biology and Medicine","","19","1","10.1007/s10334-006-0040-4","","2006","http://link.springer.com/article/10.1007/s10334-006-0040-4","Article"
"Error Detection and Prediction Algorithms: Application in Robotics","Journal of Intelligent and Robotic Systems","","48","2","10.1007/s10846-006-9094-9","Xin W. ChenShimon Y. Nof","2007","http://link.springer.com/article/10.1007/s10846-006-9094-9","Article"
"Experiences with planning techniques for assisting software design activities","Applied Intelligence","","29","1","10.1007/s10489-007-0081-z","J. Andrés Díaz-PaceMarcelo R. Campo","2008","http://link.springer.com/article/10.1007/s10489-007-0081-z","Article"
"Foveation-Based Error Resilience and Unequal Error Protection over Mobile Networks","Journal of VLSI signal processing systems for signal, image and video technology","","34","1 - 2","10.1023/A:1022970707332","Sanghoon LeeChris PodilchukVidhya KrishnanAlan C. Bovik","2003","http://link.springer.com/article/10.1023/A%3A1022970707332","Article"
"A rule-based availability-driven cosynthesis scheme","Design Automation for Embedded Systems","","11","2 - 3","10.1007/s10617-007-9005-8","Shampa ChakravertyAnil Kumar","2007","http://link.springer.com/article/10.1007/s10617-007-9005-8","Article"
"Learning of model parameters for fault diagnosis in wireless networks","Wireless Networks","","16","1","10.1007/s11276-008-0128-z","Raquel BarcoVolker WilleLuis DíezMatías Toril","2010","http://link.springer.com/article/10.1007/s11276-008-0128-z","Article"
"On High-Quality, Low Energy Built-In Self Test Preparation at RT-Level","Journal of Electronic Testing","","20","4","10.1023/B:JETT.0000039603.89172.2e","M.B. SantosI.C. TeixeiraJ.P. TeixeiraS. ManichL. BaladoJ. Figueras","2004","http://link.springer.com/article/10.1023/B%3AJETT.0000039603.89172.2e","Article"
"System health monitoring and prognostics — a review of current paradigms and practices","The International Journal of Advanced Manufacturing Technology","","28","9 - 10","10.1007/s00170-004-2131-6","Ranganath KothamasuSamuel H. HuangWilliam H. VerDuin","2006","http://link.springer.com/article/10.1007/s00170-004-2131-6","Article"
"RFID System On-line Testing Based on the Evaluation of the Tags Read-Error-Rate","Journal of Electronic Testing","","27","3","10.1007/s10836-010-5191-6","Gilles FritzVincent BeroulleOum-El-Kheir AktoufMinh Duc NguyenDavid Hély","2011","http://link.springer.com/article/10.1007/s10836-010-5191-6","Article"
"Software fault prediction using Nonlinear Autoregressive with eXogenous Inputs (NARX) network","Applied Intelligence","","37","1","10.1007/s10489-011-0316-x","S. ChatterjeeS. NigamJ. B. SinghL. N. Upadhyaya","2012","http://link.springer.com/article/10.1007/s10489-011-0316-x","Article"
"Quality monitoring of a closed-loop system with parametric uncertainties and external disturbances: a fault detection and isolation approach","The International Journal of Advanced Manufacturing Technology","","55","1 - 4","10.1007/s00170-010-3043-2","M. A. RahimHaris M. KhalidMuhammad AkramAmar KhoukhiL. ChededRajamani Doraiswami","2011","http://link.springer.com/article/10.1007/s00170-010-3043-2","Article"
"Self-healing and self-repairing technologies","The International Journal of Advanced Manufacturing Technology","","69","5 - 8","10.1007/s00170-013-5070-2","Regina FreiRichard McWilliamBenjamin DerrickAlan PurvisAsutosh TiwariGiovanna Di Marzo Serugendo","2013","http://link.springer.com/article/10.1007/s00170-013-5070-2","Article"
"A heuristic threshold policy for fault detection and diagnosis in multivariate statistical quality control environments","The International Journal of Advanced Manufacturing Technology","","67","5 - 8","10.1007/s00170-012-4561-x","Mohammad Saber Fallah NezhadSeyed Taghi Akhavan Niaki","2013","http://link.springer.com/article/10.1007/s00170-012-4561-x","Article"
"Adaptive FEC algorithm based on prediction of video quality and bandwidth utilization ratio","Journal of Ambient Intelligence and Humanized Computing","","1","4","10.1007/s12652-010-0023-1","Jiao FengChi XuefenPeng LiWang YiningLin GuanXingang Wang","2010","http://link.springer.com/article/10.1007/s12652-010-0023-1","Article"
"Quality of service models for heterogeneous networks: overview and challenges","annals of telecommunications - annales des télécommunications","","63","11 - 12","10.1007/s12243-008-0064-z","Hesham El-SayedAbdelhamid MelloukLaurent GeorgeSherali Zeadally","2008","http://link.springer.com/article/10.1007/s12243-008-0064-z","Article"
"Hierarchical Optimization of Cascading Error Protection Scheme for H.264 Scalable Video Streaming","Journal of Signal Processing Systems","","62","3","10.1007/s11265-010-0469-6","Wei-Chung WenHsu-Feng Hsiao","2011","http://link.springer.com/article/10.1007/s11265-010-0469-6","Article"
"Assessment of the IEEE 802.11e EDCA Protocol Limitations when Dealing with Real-Time Communication","EURASIP Journal on Wireless Communications and Networking","","2010","1","10.1155/2010/351480","Ricardo MoraesPaulo PortugalFrancisco VasquesRicardoF Custódio","2010","http://link.springer.com/article/10.1155/2010/351480","Article"
"Latency and Dropping Rate Analysis of IEEE 802.16e Handover","Wireless Personal Communications","","62","2","10.1007/s11277-010-0054-0","Pero LatkoskiBorislav Popovski","2012","http://link.springer.com/article/10.1007/s11277-010-0054-0","Article"
"Assessment of the influence of adaptive components in trainable surface inspection systems","Machine Vision and Applications","","21","5","10.1007/s00138-009-0211-1","Christian EitzingerW. HeidlE. LughoferS. RaiserJ.E. SmithM.A. TahirD. SannenH. Van Brussel","2010","http://link.springer.com/article/10.1007/s00138-009-0211-1","Article"
"Computing the Detection Probability for Small Delay Defects of Nanometer ICs","Journal of Electronic Testing","","27","6","10.1007/s10836-011-5256-1","José L. García-GervacioVictor Champac","2011","http://link.springer.com/article/10.1007/s10836-011-5256-1","Article"
"Error Resilience in Current Distributed Video Coding Architectures","EURASIP Journal on Image and Video Processing","","2009","1","10.1155/2009/946585","Claudia TonoliPierangelo MiglioratiRiccardo Leonardi","2009","http://link.springer.com/article/10.1155/2009/946585","Article"
"Time-Constraint-Aware Optimization of Assertions in Embedded Software","Journal of Electronic Testing","","28","4","10.1007/s10836-012-5316-1","Viacheslav IzosimovGiuseppe Di GuglielmoMichele LoraGraziano PravadelliFranco FummiZebo PengMasahiro Fujita","2012","http://link.springer.com/article/10.1007/s10836-012-5316-1","Article"
"Cell morphology classification and clutter mitigation in phase-contrast microscopy images using machine learning","Machine Vision and Applications","","23","4","10.1007/s00138-011-0345-9","Diane H. TheriaultMatthew L. WalkerJoyce Y. WongMargrit Betke","2012","http://link.springer.com/article/10.1007/s00138-011-0345-9","Article"
"A novel discrete wavelet transform framework for full reference image quality assessment","Signal, Image and Video Processing","","7","3","10.1007/s11760-011-0260-6","Soroosh RezazadehStéphane Coulombe","2013","http://link.springer.com/article/10.1007/s11760-011-0260-6","Article"
"TCAMChecker: A Software Approach to the Error Detection and Correction of TCAM-Based Networking Systems","Journal of Network and Systems Management","","21","3","10.1007/s10922-012-9238-0","M. Zubair ShafiqChad MeinersZheng QinKe ShenAlex X. Liu","2013","http://link.springer.com/article/10.1007/s10922-012-9238-0","Article"
"Distributed Video Coding: Trends and Perspectives","EURASIP Journal on Image and Video Processing","","2009","1","10.1155/2009/508167","Frederic DufauxWen GaoStefano TubaroAnthony Vetro","2010","http://link.springer.com/article/10.1155/2009/508167","Article"
"ESMRMB 2008 Congress, Valencia, Spain, 2–4 October: Abstracts, Friday","Magnetic Resonance Materials in Physics, Biology and Medicine","","21","1","10.1007/s10334-008-0124-4","","2008","http://link.springer.com/article/10.1007/s10334-008-0124-4","Article"
"Monitoring of complex systems of interacting dynamic systems","Applied Intelligence","","37","1","10.1007/s10489-011-0313-0","Michael E. CholetteJianbo LiuDragan DjurdjanovicKenneth A. Marko","2012","http://link.springer.com/article/10.1007/s10489-011-0313-0","Article"
"Application of soft computing techniques in machining performance prediction and optimization: a literature review","The International Journal of Advanced Manufacturing Technology","","46","5 - 8","10.1007/s00170-009-2104-x","M. ChandrasekaranM. MuralidharC. Murali KrishnaU. S. Dixit","2010","http://link.springer.com/article/10.1007/s00170-009-2104-x","Article"
"Reliability analysis of real-time fault-tolerant task models","Design Automation for Embedded Systems","","17","1","10.1007/s10617-013-9120-7","Shenglin GuiLei Luo","2013","http://link.springer.com/article/10.1007/s10617-013-9120-7","Article"
"Subjective Quality Assessment of H.264/AVC Video Streaming with Packet Losses","EURASIP Journal on Image and Video Processing","","2011","1","10.1155/2011/190431","Francesca De SimoneMatteo NaccariMarco TagliasacchiFrederic DufauxStefano TubaroTouradj Ebrahimi (EURASIP Member)","2011","http://link.springer.com/article/10.1155/2011/190431","Article"
"ESMRMB 2012, 29th Annual Scientific Meeting, Lisbon, Portugal, 4-6 October: Abstracts, Friday","Magnetic Resonance Materials in Physics, Biology and Medicine","","25","1","10.1007/s10334-012-0322-y","","2012","http://link.springer.com/article/10.1007/s10334-012-0322-y","Article"
"Two methods for reliable classification of network traffic","Progress in Artificial Intelligence","","1","3","10.1007/s13748-012-0019-5","Mikhail DashevskiyZhiyuan Luo","2012","http://link.springer.com/article/10.1007/s13748-012-0019-5","Article"
"Applicability of human reliability assessment methods to human–computer interfaces","Cognition, Technology & Work","","15","1","10.1007/s10111-012-0215-x","E. M. HicklingJ. E. Bowie","2013","http://link.springer.com/article/10.1007/s10111-012-0215-x","Article"
"Comparing apples and oranges: assessment of the relative video quality in the presence of different types of distortions","EURASIP Journal on Image and Video Processing","","2011","1","10.1186/1687-5281-2011-8","Ulrich ReiterJari KorhonenJunyong You","2011","http://link.springer.com/article/10.1186/1687-5281-2011-8","Article"
"Assessment of Microfluidic System Testability using Fault Simulation and Test Metrics","Journal of Electronic Testing","","27","3","10.1007/s10836-011-5202-2","Thomas O. MyersIan M. Bell","2011","http://link.springer.com/article/10.1007/s10836-011-5202-2","Article"
"Enhancement to IEEE 802.11 Distributed Coordination Function to Reduce Packet Retransmissions Under Imperfect Channel Conditions","Wireless Personal Communications","","65","4","10.1007/s11277-011-0320-9","Dhanasekaran SenthilkumarA. Krishnan","2012","http://link.springer.com/article/10.1007/s11277-011-0320-9","Article"
"Merging a DSP-Oriented Signal Integrity Technique and SW-Based Fault Handling Mechanisms to Ensure Reliable DSP Systems","Journal of Electronic Testing","","20","4","10.1023/B:JETT.0000039607.60600.67","Fabian VargasRubem D. FagundesDaniel Barros Jr.Diogo B. BrumEduardo Rhod","2004","http://link.springer.com/article/10.1023/B%3AJETT.0000039607.60600.67","Article"
"Online auto-detection method and system of presswork quality","The International Journal of Advanced Manufacturing Technology","","33","7 - 8","10.1007/s00170-006-0505-7","Hui-Chao ShangYou-Ping ChenWen-Yong YuZu-De Zhou","2007","http://link.springer.com/article/10.1007/s00170-006-0505-7","Article"
"ESMRMB 2008 Congress, Valencia, Spain, 2–4 October: Abstracts, Thursday","Magnetic Resonance Materials in Physics, Biology and Medicine","","21","1","10.1007/s10334-008-0123-5","","2008","http://link.springer.com/article/10.1007/s10334-008-0123-5","Article"
"An industrial vision system for surface quality inspection of transparent parts","The International Journal of Advanced Manufacturing Technology","","68","5 - 8","10.1007/s00170-013-4904-2","S. Satorres MartínezJ. Gómez OrtegaJ. Gámez GarcíaA. Sánchez GarcíaE. Estévez Estévez","2013","http://link.springer.com/article/10.1007/s00170-013-4904-2","Article"
"Applying PSO-based BPN for predicting the yield rate of DRAM modules produced using defective ICs","The International Journal of Advanced Manufacturing Technology","","49","9 - 12","10.1007/s00170-009-2448-2","Zne-Jung LeeKuo-Ching YingShih-Chieh ChenShih-Wei Lin","2010","http://link.springer.com/article/10.1007/s00170-009-2448-2","Article"
"Design of a validation test process of an automotive software","International Journal on Interactive Design and Manufacturing (IJIDeM)","","4","4","10.1007/s12008-010-0108-2","Roy AwedikianBernard Yannou","2010","http://link.springer.com/article/10.1007/s12008-010-0108-2","Article"
"An optimization based design for integrated dependable real-time embedded systems","Design Automation for Embedded Systems","","13","4","10.1007/s10617-009-9041-7","Shariful IslamNeeraj SuriAndrás BaloghGyörgy CsertánAndrás Pataricza","2009","http://link.springer.com/article/10.1007/s10617-009-9041-7","Article"
"A new approach to detection of defects in rolling element bearings based on statistical pattern recognition","The International Journal of Advanced Manufacturing Technology","","45","1 - 2","10.1007/s00170-009-1953-7","Pavle StepanicIlija V. LatinovicZeljko Djurovic","2009","http://link.springer.com/article/10.1007/s00170-009-1953-7","Article"
"A Novel Image Mosaicking Technique for Enlarging the Field of View of Images Transmitted over Wireless Image Sensor Networks","Mobile Networks and Applications","","15","4","10.1007/s11036-009-0206-1","Richard W. PazziAzzedine BoukercheJing FengYing Huang","2010","http://link.springer.com/article/10.1007/s11036-009-0206-1","Article"
"Laser welding defects detection in automotive industry based on radiation and spectroscopical measurements","The International Journal of Advanced Manufacturing Technology","","49","1 - 4","10.1007/s00170-009-2395-y","Sergio Saludes RodilRoberto Arnanz GómezJosé M. BernárdezFernando RodríguezLuis J. MiguelJosé R. Perán","2010","http://link.springer.com/article/10.1007/s00170-009-2395-y","Article"
"Fairness analysis of throughput and delay in WLAN environments with channel diversities","EURASIP Journal on Wireless Communications and Networking","","2011","1","10.1186/1687-1499-2011-42","Chiapin WangHao-Kai LoShih-Hau Fang","2011","http://link.springer.com/article/10.1186/1687-1499-2011-42","Article"
"Book of Abstracts ESMRMB 2005 22nd Annual Scientific Meeting Basle/CH, Sept. 15-18, 2005","Magnetic Resonance Materials in Physics, Biology and Medicine","","18","1","10.1007/s10334-005-0003-1","","2005","http://link.springer.com/article/10.1007/s10334-005-0003-1","Article"
"Understanding service uncertainties in industrial product–service system cost estimation","The International Journal of Advanced Manufacturing Technology","","52","9 - 12","10.1007/s00170-010-2767-3","John Ahmet ErkoyuncuRajkumar RoyEssam ShehabKalyan Cheruvu","2011","http://link.springer.com/article/10.1007/s00170-010-2767-3","Article"
"A Hybrid Error Recovery scheme for Scalable Video Transmission over 3G Cellular Broadcast Networks","Wireless Networks","","15","2","10.1007/s11276-007-0038-5","Kyungtae KangYongwoo ChoHeonshik Shin","2009","http://link.springer.com/article/10.1007/s11276-007-0038-5","Article"
"Book of Abstracts ESMRMB 2005 22nd Annual Scientific Meeting Basle/CH, Sept. 15-18, 2005","Magnetic Resonance Materials in Physics, Biology and Medicine","","18","1","10.1007/s10334-005-0006-y","","2005","http://link.springer.com/article/10.1007/s10334-005-0006-y","Article"
"Experimental Evaluation of Verification and Validation Tools on Martian Rover Software","Formal Methods in System Design","","25","2 - 3","10.1023/B:FORM.0000040027.28662.a4","Guillaume BratDoron DrusinskyDimitra GiannakopoulouAllen GoldbergKlaus HavelundMike LowryCorina PasareanuArnaud VenetWillem VisserRich Washington","2004","http://link.springer.com/article/10.1023/B%3AFORM.0000040027.28662.a4","Article"
"ChameleonSoft: Software Behavior Encryption for Moving Target Defense","Mobile Networks and Applications","","18","2","10.1007/s11036-012-0392-0","Mohamed AzabMohamed Eltoweissy","2013","http://link.springer.com/article/10.1007/s11036-012-0392-0","Article"
"A Max-EWMA approach to monitor and diagnose faults of multivariate quality control processes","The International Journal of Advanced Manufacturing Technology","","68","9 - 12","10.1007/s00170-013-4834-z","Mohammad Saber Fallah NezhadSeyed Taghi Akhavan Niaki","2013","http://link.springer.com/article/10.1007/s00170-013-4834-z","Article"
"On-line signal quality estimation of multichannel surface electromyograms","Medical and Biological Engineering and Computing","","43","3","10.1007/BF02345813","Dr C. GrönlundK. RoeleveldA. HoltermannJ. S. Karlsson","2005","http://link.springer.com/article/10.1007/BF02345813","Article"
"Image interpolation for virtual sports scenarios","Machine Vision and Applications","","16","4","10.1007/s00138-005-0177-6","Tomás RodríguezIan ReidRadu HoraudNavneet DalalMarcelo Goetz","2005","http://link.springer.com/article/10.1007/s00138-005-0177-6","Article"
"Real Time Scheduling Theory: A Historical Perspective","Real-Time Systems","","28","2 - 3","10.1023/B:TIME.0000045315.61234.1e","Lui ShaTarek AbdelzaherKarl-Erik årzénAnton CervinTheodore BakerAlan BurnsGiorgio ButtazzoMarco CaccamoJohn LehoczkyAloysius K. Mok","2004","http://link.springer.com/article/10.1023/B%3ATIME.0000045315.61234.1e","Article"
"ESMRMB 2008 Congress, Valencia, Spain, 2–4 October: Abstracts, Saturday","Magnetic Resonance Materials in Physics, Biology and Medicine","","21","1","10.1007/s10334-008-0125-3","","2008","http://link.springer.com/article/10.1007/s10334-008-0125-3","Article"
"Outline of a fault diagnosis system for a large-scale board machine","The International Journal of Advanced Manufacturing Technology","","65","9 - 12","10.1007/s00170-012-4296-8","Sirkka-Liisa Jämsä-JounelaVesa-Matti TikkalaAlexey ZakharovOctavio Pozo GarciaHelena LaaviTommi MyllerTomi KulomaaVeikko Hämäläinen","2013","http://link.springer.com/article/10.1007/s00170-012-4296-8","Article"
"New Alternatives to the Estimation Problem in Hardware-Software Codesign of Complex Embedded Systems: The H.261 Video Co-dec Case Study","Design Automation for Embedded Systems","","9","3","10.1007/s10617-005-1198-0","Juan Antonio MaestroDaniel MozosRaquel DormidoPedro Reviriego","2004","http://link.springer.com/article/10.1007/s10617-005-1198-0","Article"
"A vision-based system for automatic hand washing quality assessment","Machine Vision and Applications","","22","2","10.1007/s00138-009-0234-7","David Fernández LlorcaIgnacio ParraMiguel Ángel SoteloGerard Lacey","2011","http://link.springer.com/article/10.1007/s00138-009-0234-7","Article"
"Automated insect identification through concatenated histograms of local appearance features: feature vector generation and region detection for deformable objects","Machine Vision and Applications","","19","2","10.1007/s00138-007-0086-y","Natalia LariosHongli DengWei ZhangMatt SarpolaJenny YuenRobert PaaschAndrew MoldenkeDavid A. LytleSalvador Ruiz CorreaEric N. MortensenLinda G. ShapiroThomas G. Dietterich","2008","http://link.springer.com/article/10.1007/s00138-007-0086-y","Article"
"Software quality and group performance","AI & SOCIETY","","23","4","10.1007/s00146-007-0174-6","Yuk Kuen Wong","2009","http://link.springer.com/article/10.1007/s00146-007-0174-6","Article"
"Fuzzy fault tree analysis based on T–S model with application to INS/GPS navigation system","Soft Computing","","13","1","10.1007/s00500-008-0290-3","Hua SongHong-Yue ZhangC. W. Chan","2008","http://link.springer.com/article/10.1007/s00500-008-0290-3","Article"
"Diagnostic Tools for Wireless Sensor Networks: A Comparative Survey","Journal of Network and Systems Management","","21","3","10.1007/s10922-012-9240-6","André RodriguesTiago CamiloJorge Sá SilvaFernando Boavida","2013","http://link.springer.com/article/10.1007/s10922-012-9240-6","Article"
"Energy-efficient optical acquisition schemes in wireless sensor networks","Wireless Networks","","17","8","10.1007/s11276-011-0379-y","Debbie KedarShlomi DolevShlomi Arnon","2011","http://link.springer.com/article/10.1007/s11276-011-0379-y","Article"
"Redundantization of interdependent program modules for parallel control computing systems: Organization, estimation of fault-tolerance, formalized description","Automation and Remote Control","","69","10","10.1134/S0005117908100111","V. V. IgnatushchenkoN. A. Isaeva","2008","http://link.springer.com/article/10.1134/S0005117908100111","Article"
"Yield and reliability issues in nanoelectronic technologies","Annales Des Télécommunications","","61","11 - 12","10.1007/BF03219903","Denis Teixeira FrancoJean-François NavinerLirida Naviner","2006","http://link.springer.com/article/10.1007/BF03219903","Article"
"A compiler framework for the reduction of worst-case execution times","Real-Time Systems","","46","2","10.1007/s11241-010-9101-x","Heiko FalkPaul Lokuciejewski","2010","http://link.springer.com/article/10.1007/s11241-010-9101-x","Article"
"Partially supervised Independent Factor Analysis using soft labels elicited from multiple experts: application to railway track circuit diagnosis","Soft Computing","","16","5","10.1007/s00500-011-0766-4","Zohra L. CherfiLatifa OukhellouEtienne CômeThierry DenœuxPatrice Aknin","2012","http://link.springer.com/article/10.1007/s00500-011-0766-4","Article"
"Memory Defect Tolerance Architectures for Nanotechnologies","Journal of Electronic Testing","","21","4","10.1007/s10836-005-0971-0","Michael NicolaidisLorena AnghelNadir Achouri","2005","http://link.springer.com/article/10.1007/s10836-005-0971-0","Article"
"A Flexible PCB Inspection System Based on Statistical Learning","Journal of Signal Processing Systems","","67","3","10.1007/s11265-010-0556-8","Chia-Te LiaoWen-Hao LeeShang-Hong Lai","2012","http://link.springer.com/article/10.1007/s11265-010-0556-8","Article"
"Error concealment analysis for H.264/advanced video coding encoded video sequences","e & i Elektrotechnik und Informationstechnik","","129","6","10.1007/s00502-012-0053-9","Dr., M.Sc. Luca SuperioriDr., M.Sc. Olivia NemethovaUniv.-Prof. Dipl.-Ing. Dr. Markus Rupp","2012","http://link.springer.com/article/10.1007/s00502-012-0053-9","Article"
