title$|$authors$|$year$|$citedCount$|$fulltext_url
Accessibility validation with RAVEN$|$Barry Feigenbaum,Michael Squillace$|$2006$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1137709
Spam Filter Based Approach for Finding Fault-Prone Software Modules$|$Osamu Mizuno,Shiro Ikami,Shuya Nakaichi,Tohru Kikuno$|$2007$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=1269020
A framework for system reliability analysis considering both system error tolerance and component test quality$|$Sung-Jui Pan,Kwang-Ting Cheng$|$2007$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1266714
Quality, cleanroom and formal methods$|$Zarrin Langari,Anne Banks Pidduck$|$2005$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1083302
Harbor: software-based memory protection for sensor nodes$|$Ram Kumar,Eddie Kohler,Mani Srivastava$|$2007$|$18$|$http://dl.acm.org/ft_gateway.cfm?id=1236404
Covering arrays for efficient fault characterization in complex configuration spaces$|$Cemal Yilmaz,Myra B. Cohen,Adam Porter$|$2004$|$21$|$http://dl.acm.org/ft_gateway.cfm?id=1007519
Characterizing quality of resilience in scientific workflows$|$Rafael Tolosana-Calasanz,Marco Lackovic,Omer F. Rana,Jose A. Banares,Domenico Talia$|$2011$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2110511
Failure-dependent execution time analysis$|$Kai Hofig,Dominik Domis$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2000279
Static analysis of component systems using behavior protocols$|$Jiri Adamek$|$2003$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=949378
Efficient concurrency-bug detection across inputs$|$Dongdong Deng,Wei Zhang,Shan Lu$|$2013$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=2509539
Efficient software model checking of soundness of type systems$|$Michael Roberson,Melanie Harries,Paul T. Darga,Chandrasekhar Boyapati$|$2008$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=1449803
Runtime testing framework for improving quality in dynamic service-based systems$|$Mariam Lahami,Moez Krichen,Mohamed Jmaiel$|$2013$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2489335
Empirical evidence on OCL formal specification-based metrics as a predictor of fault-proneness$|$A. Jalila,D. Jeya Mala$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2507308
Towards economical software release recommendations$|$Yavuz Sancar,Frank Bruseke,Stefan Sauer,Gregor Engels,Hendrik Voigt$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1890701
Effective and scalable software compatibility testing$|$Il-Chul Yoon,Alan Sussman,Atif Memon,Adam Porter$|$2008$|$9$|$http://dl.acm.org/ft_gateway.cfm?id=1390640
Predictors of customer perceived software quality$|$Audris Mockus,Ping Zhang,Paul Luo Li$|$2005$|$26$|$http://dl.acm.org/ft_gateway.cfm?id=1062506
NodeMD: diagnosing node-level faults in remote wireless sensor systems$|$Veljko Krunic,Eric Trumpler,Richard Han$|$2007$|$28$|$http://dl.acm.org/ft_gateway.cfm?id=1247669
Failures in complex systems: case studies, causes, and possible remedies$|$Danny Kopec,Suzanne Tamang$|$2007$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1272905
The use of UML class diagrams and its effect on code change-proneness$|$Rut Torres Vargas,Ariadi Nugroho,Michel Chaudron,Joost Visser$|$2012$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2424566
Combining hardware and software instrumentation to classify program executions$|$Cemal Yilmaz,Adam Porter$|$2010$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1882304
Predicting risky modules in open-source software for high-performance computing$|$Amit A. Phadke,Edward B. Allen$|$2005$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1145337
Ontology-supported quality assurance for component-based systems configuration$|$Stefan Biffl,Richard Mordinyi,Thomas Moser,Dindin Wahyudin$|$2008$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1370113
Don't touch my code!: examining the effects of ownership on software quality$|$Christian Bird,Nachiappan Nagappan,Brendan Murphy,Harald Gall,Premkumar Devanbu$|$2011$|$40$|$http://dl.acm.org/ft_gateway.cfm?id=2025119
Modelling the quality economics of defect-detection techniques$|$Stefan Wagner$|$2006$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1137716
Adequate and Precise Evaluation of Quality Models in Software Engineering Studies$|$Yan Ma,Bojan Cukic$|$2007$|$10$|$http://dl.acm.org/ft_gateway.cfm?id=1269049
Early estimation of defect density using an in-process Haskell metrics model$|$Mark Sherriff,Nachiappan Nagappan,Laurie Williams,Mladen Vouk$|$2005$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1083285
Discriminative pattern mining in software fault detection$|$Giuseppe Di Fatta,Stefan Leue,Evghenia Stegantova$|$2006$|$15$|$http://dl.acm.org/ft_gateway.cfm?id=1188910
Locating where faults will be$|$Thomas J. Ostrand,Elaine J. Weyuker,Robert M. Bell$|$2005$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1095262
Integrating a model of analytical quality assurance into the V-Modell XT$|$Stefan Wagner,Michael Meisinger$|$2006$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1188906
Concern-based cohesion as change proneness indicator: an initial empirical study$|$Bruno C. da Silva,Claudio Sant'Anna,Christina Chavez$|$2011$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1985387
Model-based run-time monitoring of end-to-end deadlines$|$Jaswinder Ahluwalia,Ingolf H. Kruger,Walter Phillips,Michael Meisinger$|$2005$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=1086248
QUAASY: QUality Assurance of Adaptive SYstems$|$Markus Luckey,Christian Gerth,Christian Soltenborn,Gregor Engels$|$2011$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1998617
Designing systems that direct human action$|$Ana Ramirez Chang,Marc Davis$|$2005$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1056891
Exploratory study of a UML metric for fault prediction$|$Ana Erika Camargo Cruz$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1810393
Analyzing software process models with AVISPA$|$Julio A. Hurtado Alegria,Maria Cecilia Bastarrica,Alexandre Bergel$|$2011$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=1987882
Ecosystem modeling and analysis: a tutorial$|$John D. McGregor$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2493904
A cost-benefit model for software quality assurance activities$|$Tilmann Hampp$|$2012$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2365337
How to measure success of fault prediction models$|$Thomas J. Ostrand,Elaine J. Weyuker$|$2007$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=1295080
QUAASY: QUality Assurance of Adaptive SYstems$|$Markus Luckey,Christian Gerth,Christian Soltenborn,Gregor Engels$|$2011$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1998617
Evaluating confidence levels for security scenarios in attribute architectures$|$Tacksoo Im,John D. McGregor$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1852753
Towards quality-aware development and evolution of enterprise information systems$|$Oliver Hummel,Christof Momm,Susan Hickl$|$2010$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1774116
Use of formal methods for building qualified code generator for safer automotive systems$|$Nassima Izerrouken,Olivier Ssi Yan Kai,Marc Pantel,Xavier Thirioux$|$2010$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1772659
Mobl: the new language of the mobile web$|$Zef Hemel,Eelco Visser$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2048159
Using feature locality: can we leverage history to avoid failures during reconfiguration?$|$Brady J. Garvin,Myra B. Cohen,Matthew B. Dwyer$|$2011$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=2024443
Failure-prone components are also attack-prone components$|$Michael Gegick$|$2008$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1449907
Automatically improve software architecture models for performance, reliability, and cost using evolutionary algorithms$|$Anne Martens,Heiko Koziolek,Steffen Becker,Ralf Reussner$|$2010$|$44$|$http://dl.acm.org/ft_gateway.cfm?id=1712624
Dione: an integrated measurement and defect prediction solution$|$Bora Caglayan,Ayse Tosun Misirli,Gul Calikli,Ayse Bener,Turgay Aytac,Burak Turhan$|$2012$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2393619
Are comprehensive quality models necessary for evaluating software quality?$|$Klaus Lochmann,Jasmin Ramadani,Stefan Wagner$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2499404
Performance-driven stepwise refinement of component-based architectures$|$Lucia Kapova,Barbora Buhnova$|$2010$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1858269
Legacy system exorcism by Pareto's principle$|$Kristoffer Kvam,Rodin Lie,Daniel Bakkelund$|$2005$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1094959
An experiment to investigate interacting versus nominal groups in software inspection$|$Diane Kelly,Terry Shepard$|$2003$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=961343
Managing technical debt in software development: report on the 2nd international workshop on managing technical debt, held at ICSE 2011$|$Ipek Ozkaya,Philippe Kruchten,Robert L. Nord,Nanette Brown$|$2011$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=2020979
Using dynamic partial reconfiguration to detect sees in microprocessors through non-intrusive hybrid technique$|$Jose Rodrigo Azambuja,Samuel Pagliarini,Mauricio Altieri,Fernanda Lima Kastensmidt,Michael Hubner,Jurgen Becker$|$2011$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2020914
Managing technical debt in software development: report on the 2nd international workshop on managing technical debt, held at ICSE 2011$|$Ipek Ozkaya,Philippe Kruchten,Robert L. Nord,Nanette Brown$|$2011$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=2020979
API change and fault proneness: a threat to the success of Android apps$|$Mario Linares-Vasquez,Gabriele Bavota,Carlos Bernal-Cardenas,Massimiliano Di Penta,Rocco Oliveto,Denys Poshyvanyk$|$2013$|$17$|$http://dl.acm.org/ft_gateway.cfm?id=2491428
Metric based testability model for object oriented design (MTMOOD)$|$R. A. Khan,K. Mustafa$|$2009$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=1507204
CTrigger: exposing atomicity violation bugs from their hiding places$|$Soyeon Park,Shan Lu,Yuanyuan Zhou$|$2009$|$101$|$http://dl.acm.org/ft_gateway.cfm?id=1508249
Spatiotemporal Models for Data-Anomaly Detection in Dynamic Environmental Monitoring Campaigns$|$Ethan W. Dereszynski,Thomas G. Dietterich$|$2011$|$12$|$http://dl.acm.org/ft_gateway.cfm?id=1993045
Architecture-based self-protecting software systems$|$Eric Yuan,Sam Malek,Bradley Schmerl,David Garlan,Jeff Gennari$|$2013$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=2465479
Managing software quality through a hybrid defect content and effectiveness model$|$Michael Klas,Frank Elberzhager,Haruka Nakao$|$2008$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1414067
Simulink models are also software: modularity assessment$|$Yanja Dajsuren,Mark G.J. van den Brand,Alexander Serebrenik,Serguei Roubtsov$|$2013$|$4$|$http://dl.acm.org/ft_gateway.cfm?id=2465482
A quality-driven systematic approach for architecting distributed software applications$|$Tariq Al-Naeem,Ian Gorton,Muhammed Ali Babar,Fethi Rabhi,Boualem Benatallah$|$2005$|$31$|$http://dl.acm.org/ft_gateway.cfm?id=1062508
An analysis of dependency of coupling on software defects$|$Vinay Singh,Vandana Bhattacherjee,Sandeep Bhattacharjee$|$2012$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2088899
A quality assurance model for analysis phase$|$Reham Ejaz,Mubina Nazmeen,Maryam Zafar$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1890811
Good is not good enough: evaluating and improving software architecture$|$Michael Stal$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2000272
On the relation of refactorings and software defect prediction$|$Jacek Ratzinger,Thomas Sigmund,Harald C. Gall$|$2008$|$18$|$http://dl.acm.org/ft_gateway.cfm?id=1370759
Continuous software quality supervision using SourceInventory and Columbus$|$Tibor Bakota,Arpad Beszedes,Rudolf Ferenc,Tibor Gyimothy$|$2008$|$4$|$http://dl.acm.org/ft_gateway.cfm?id=1370193
Detecting missing thrown exceptions in enterprise systems: an empirical study$|$Cristina Marinescu$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1852861
Incorporating qualitative and quantitative factors for software defect prediction$|$Dandan Wang,Qing Wang,Zhenghua Hong,Xichang Chen,Liwen Zhang,Ye Yang$|$2012$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2372250
The effects of development team skill on software product quality$|$Justin M. Beaver,Guy A. Schiavone$|$2006$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1127882
Automated software evolution towards design patterns$|$Mel O Cinneide,Paddy Nixon$|$2001$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=602499
Visualization-based analysis of quality for large-scale software systems$|$Guillaume Langelier,Houari Sahraoui,Pierre Poulin$|$2005$|$16$|$http://dl.acm.org/ft_gateway.cfm?id=1101941
ConSeq: detecting concurrency bugs through sequential errors$|$Wei Zhang,Junghee Lim,Ramya Olichandran,Joel Scherpelz,Guoliang Jin,Shan Lu,Thomas Reps$|$2011$|$31$|$http://dl.acm.org/ft_gateway.cfm?id=1950395
Security metrics for source code structures$|$Istehad Chowdhury,Brian Chan,Mohammad Zulkernine$|$2008$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=1370913
A heuristic-based approach for detecting SQL-injection vulnerabilities in web applications$|$Angelo Ciampa,Corrado Aaron Visaggio,Massimiliano Di Penta$|$2010$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1809107
Towards a classification of logical dependencies origins: a case study$|$Gustavo A. Oliva,Francisco W.S. Santana,Marco A. Gerosa,Cleidson R.B. de Souza$|$2011$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=2024452
On quick comprehension and assessment of software$|$Cezary Bartoszuk,Robert Dabrowski,Krzysztof Stencel,Grzegorz Timoszuk$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2516806
Assessing the impact of bad smells using historical information$|$Angela Lozano,Michel Wermelinger,Bashar Nuseibeh$|$2007$|$4$|$http://dl.acm.org/ft_gateway.cfm?id=1294957
Exploring the relationship of history characteristics and defect count: an empirical study$|$Timea Illes-Seifert,Barbara Paech$|$2008$|$7$|$http://dl.acm.org/ft_gateway.cfm?id=1390821
Error detection framework for complex software systems$|$Antonio Bovenzi,Domenico Cotroneo,Roberto Pietrantuono,Gabriella Carrozza$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1978596
Language interaction and quality issues: an exploratory study$|$Antonio Vetro',Federico Tomassetti,Marco Torchiano,Maurizio Morisio$|$2012$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2372309
The influence of organizational structure on software quality: an empirical case study$|$Nachiappan Nagappan,Brendan Murphy,Victor Basili$|$2008$|$85$|$http://dl.acm.org/ft_gateway.cfm?id=1368160
On the problems with evolving Egemin's software product line$|$Bartosz Michalik,Danny Weyns,Wim Van Betsbrugge$|$2011$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1985489
Integrated Management of Company Processes and Standard Processes: A Platform to Prepare and Perform Quality Management Appraisals$|$Stefan Jablonski,Matthias Faerber$|$2007$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1270364
High performance computing on fault-prone nanotechnologies: novel microarchitecture techniques exploiting reliability-delay trade-offs$|$Andrey V. Zykov,Elias Mizan,Margarida F. Jacome,Gustavo de Veciana,Ajay Subramanian$|$2005$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1065649
