"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&",2016/07/08 15:38:52
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Joint TDOA and AOA location algorithm","C. Liu; J. Yang; F. Wang","Institute of Electronic Countermeasure, Xidian University, Xi'an 710071, China","Journal of Systems Engineering and Electronics","20130621","2013","24","2","183","188","For the joint time difference of arrival (TDOA) and angle of arrival (AOA) location scene, two methods are proposed based on the rectangular coordinates and the polar coordinates, respectively. The problem is solved perfectly by calculating the target position with the joint TDOA and AOA location. On the condition of rectangular coordinates, first of all, it figures out the radial range between target and reference stations, then calculates the location of the target. In the case of polar coordinates, first of all, it figures out the azimuth between target and reference stations, then figures out the radial range between target and reference stations, finally obtains the location of the target. Simultaneously, simulation analyses show that the theoretical analysis is correct, and the proposed methods also provide the application of the joint TDOA and AOA location algorithm with the theoretical basis.","","","","10.1109/JSEE.2013.00023","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6545428","direct solution method;joint time difference of arrival (TDOA) and angle of arrival (AOA) location;passive location;performance analysis","","","","","1","","","","","April 2013","","BIAI","BIAI Journals & Magazines"
"Table of contents","","","IEEE Transactions on Plasma Science","20080812","2008","36","4","C1","1689","Presents the table of contents for this issue of the periodical.","0093-3813;00933813","","","10.1109/TPS.2008.928748","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4598960","","","","","","0","","","","","Aug. 2008","","IEEE","IEEE Journals & Magazines"
"Characteristics of Nb-based Josephson junctions at a temperature below 1 K","K. Ishibashi; K. Takeno; Y. Oae; T. Sakae; Y. Matsumoto; A. Katase; S. Takada; H. Akoh; H. Nakagawa","Dept. of Nucl. Eng., Kyushu Univ., Fukuoka, Japan","IEEE Transactions on Magnetics","20020806","1989","25","2","1354","1357","A lithographic technique for Josephson LSI (large scale integrated) circuits was applied to the production of a superconducting tunnel junction for radiation detection. Nb-Al/aluminum oxide/Nb tunnel junctions with different junction sizes and barrier oxidation times have been fabricated. The current-voltage curves were measured in the temperature range from 4.2 to 0.45 K. The junctions showed some amounts of leakage current, which remained below 2 K. The behavior of the leakage current was successfully understood from its experimental dependence on the junction size","0018-9464;00189464","","","10.1109/20.92547","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=92547","","Aluminum oxide;Josephson junctions;Large scale integration;Leakage current;Niobium;Oxidation;Production;Radiation detector circuits;Superconducting integrated circuits;Temperature measurement","Josephson effect;aluminium;aluminium compounds;cryogenics;integrated circuit technology;large scale integration;leakage currents;lithography;niobium;radiation detection and measurement;superconducting junction devices;type I superconductors;type II superconductors","0.45 to 4.2 K;Josephson LSI;Josephson junctions;Nb-Al-AlO<sub>x</sub>-Nb;barrier oxidation times;cryostat;current-voltage curves;junction size;leakage current;lithographic technique;radiation detection;superconducting tunnel junction","","4","2","7","","","Mar 1989","","IEEE","IEEE Journals & Magazines"
"Circular contextual insertions/deletions with applications to biomolecular computation","M. Daley; L. Kari; G. Gloor; R. Siromoney","Dept. of Comput. Sci., Univ. of Western Ontario, London, Ont., Canada","String Processing and Information Retrieval Symposium, 1999 and International Workshop on Groupware","20020806","1999","","","47","54","Insertions and deletions of small circular DNA strands into long linear DNA strands are phenomena that happen frequently in nature and thus constitute an attractive paradigm for biomolecular computing. The paper presents a new model for DNA-based computation that involves circular as well as linear molecules, and that uses the operations of insertion and deletion. After introducing the formal model, we investigate its properties and prove in particular that the circular insertion/deletion systems are capable of universal computation. We also give the results of an experimental laboratory implementation of our model. This shows that rewriting systems of the circular insertion/deletion type are viable alternatives in DNA computation","","0-7695-0268-7;0769502687","","10.1109/SPIRE.1999.796577","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=796577","","Application software;Biochemistry;Computer applications;Computer science;Councils;DNA computing;Educational institutions;Laboratories;Splicing;Testing","biocomputing;rewriting systems;theorem proving","DNA computation;DNA-based computation;biomolecular computation;biomolecular computing;circular contextual insertions/deletions;circular insertion/deletion systems;circular molecules;formal model;linear molecules;long linear DNA strands;rewriting systems;small circular DNA strands;universal computation","","0","","15","","","1999","22 Sep 1999-24 Sep 1999","IEEE","IEEE Conference Publications"
"Inflammation Security: A Decentralised Immune Model for Resource Distribution in Networks","M. Heydenrych; E. Ehlers","Acad. of Comput. Sci. & Software Eng., Univ. of Johannesburg, Johannesburg, South Africa","2012 IEEE 11th International Conference on Trust, Security and Privacy in Computing and Communications","20120906","2012","","","1049","1056","This paper will present a method for disseminating mobile agents throughout a network in order to protect that network. This method is based on the immune concept of inflammation, which provides greater blood flow to areas of the body in danger. It also presents a prototype implementation of the model, and analyses that prototype.","2324-898X;2324898X","978-1-4673-2172-3;9781467321723","","10.1109/TrustCom.2012.186","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6296090","immune;inflammation;mobile agents;network security","Benchmark testing;Blood;Immune system;Network topology;Security;Standards;Topology","mobile agents;security of data","decentralised immune model;inflammation security;mobile agent dissemination;network protection;resource distribution","","0","","6","","","25-27 June 2012","","IEEE","IEEE Conference Publications"
"Table of contents","","","IEEE Journal of Quantum Electronics","20070723","2007","43","7","517","518","Presents the table of contents for this issue of the periodical.","0018-9197;00189197","","","10.1109/JQE.2007.903717","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4276828","","","","","","0","","","","","July 2007","","IEEE","IEEE Journals & Magazines"
"Exploring the design space of mixed swing quadrail for low-power digital circuits","R. K. Krishnamurthy; L. R. Carley","Dept. of Electr. & Comput. Eng., Carnegie Mellon Univ., Pittsburgh, PA, USA","IEEE Transactions on Very Large Scale Integration (VLSI) Systems","20020806","1997","5","4","388","400","This paper describes and explores the design space of a mixed voltage swing methodology for lowering the energy per switching operation of digital circuits in standard submicron complementary metal-oxide-semiconductor (CMOS) fabrication processes. Employing mixed voltage swings expands the degrees of freedom available in the power-delay optimization space of static CMOS circuits. In order to study this design space and evaluate the power-delay tradeoffs, analytical polynomial formulations for power and delay of mixed swing circuits are derived and HSPICE simulation results are presented to demonstrate their accuracy. Efficient voltage scaling and transistor sizing techniques based on our analytical formulations are proposed for optimizing energy/operation subject to target delay constraints; up to 2.2/spl times/ improvement in energy/operation is demonstrated for an ISCAS'85 benchmark circuit using these techniques. Experimental results from HSPICE simulations and measurements from an And-Or-Invert (AO1222) test chip fabricated in the Hewlett-Packard 0.5 /spl mu/m process are presented to demonstrate up to 2,92/spl times/ energy/operation savings for optimized mixed swing circuits compared to static CMOS.","1063-8210;10638210","","","10.1109/92.645065","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=645065","","CMOS digital integrated circuits;CMOS process;Circuit simulation;Circuit testing;Delay;Digital circuits;Fabrication;Space exploration;Switching circuits;Voltage","CMOS digital integrated circuits;SPICE;VLSI;circuit CAD;circuit analysis computing;circuit optimisation;delays;logic gates","0.5 micron;AND-OR-invert test chip;HSPICE simulation results;ISCAS'85 benchmark circuit;design space;energy per switching operation;low-power digital circuits;mixed swing quadrail;polynomial formulations;power-delay optimization space;submicron CMOS;target delay constraints;transistor sizing techniques;voltage scaling","","7","6","33","","","Dec. 1997","","IEEE","IEEE Journals & Magazines"
"Pipelined recursive modified Euclidean algorithm block for low-complexity, high-speed Reed-Solomon decoder","H. Lee; A. Azam","Dept. of Electr. & Comput. Eng., Univ. of Connecticut, Storrs, CT, USA","Electronics Letters","20031110","2003","39","19","1371","1372","A novel pipelined recursive modified Euclidean (ME) algorithm block for the low-complexity, high-speed Reed-Solomon (RS) decoder is presented. The deeply pipelined recursive structure enables implementation of a significantly low-complexity ME algorithm block with much improved clock frequency. The low-complexity, high-speed RS decoder using the pipelined recursive ME algorithm block has been implemented in 0.13 μm CMOS technology with a supply voltage of 1.1 V. The results show that it has significantly low hardware complexity and a high data processing rate of 6.16 Gbit/s.","0013-5194;00135194","","","10.1049/el:20030886","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1244148","","","CMOS digital integrated circuits;Reed-Solomon codes;circuit complexity;decoding;digital signal processing chips;high-speed integrated circuits;pipeline processing","0.13 micron;1.1 V;6.16 Gbit/s;CMOS technology;Reed-Solomon decoder;clock frequency improvement;deeply pipelined recursive structure;high-speed RS decoder;low-complexity RS decoder;modified Euclidean algorithm block;pipelined recursive algorithm block","","2","","","","","18 Sept. 2003","","IET","IET Journals & Magazines"
"Semi-automatic 2D-to-3D video conversion based on depth propagation from key-frames","G. S. Lin; J. F. Huang; W. N. Lie","Dept. of Comput. Sci. & Inf. Eng., Da-Yeh Univ., Chang-Hua, Taiwan","2013 IEEE International Conference on Image Processing","20140213","2013","","","2202","2206","In this paper, we propose a new two-pass bi-directional keyframe depth propagation algorithm for semi-automatic 2D-to-3D video conversion. First, key-frames are selected from each video shot based on color compensation errors. Depths for key-frames are then manually assigned or rendered by using popular computer tools, which are then propagated to non-key-frames bounded by a pair of front and rear key-frames. Our two-pass bidirectional procedure is advantageous in solving the background occlusion/dis-occlusion problems that degrade traditional depth propagation Experiments show that our algorithm is capable of achieving better results in both subjective and objective evaluations.","1522-4880;15224880","","","10.1109/ICIP.2013.6738454","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6738454","2D-to-3D video conversion;depth propagation","","error compensation;image colour analysis;rendering (computer graphics);video signal processing","background disocclusion problem;bidirectional keyframe depth propagation algorithm;color compensation error;computer tools;front keyframe;keyframe selection;objective evaluation;rear keyframe;rendering;semiautomatic 2D-to-3D video conversion;subjective evaluation;video shot","","1","","13","","","15-18 Sept. 2013","","IEEE","IEEE Conference Publications"
"Natural and accelerated climatic aging of polymer materials for HV insulation","C. de Tourreil","IREQ, Varennes, Qu&#233;bec, Canada","1982 IEEE International Conference on Electrical Insulation","20160505","1982","","","233","237","Composite insulators for HV transmission lines consist of a fiberglass reinforced resin red covered by a weather protecting jacket. This new insulator may prove to be an advantageous choice for the insulation of HV transmission lines.","","978-1-5090-3123-8;9781509031238","","10.1109/EIC.1982.7464477","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7464477","","Accelerated aging;Dielectric measurement;Electrical resistance measurement;Insulators;Polymers;Resistance","","","","","","","","","7-9 June 1982","","IEEE","IEEE Conference Publications"
"Computational balance in real-time cyclic spectral analysis","R. S. Roberts; H. H. Loomis","Los Alamos Nat. Lab., NM, USA","Acoustics, Speech, and Signal Processing, 1994. ICASSP-94., 1994 IEEE International Conference on","20020806","1994","iv","","IV/161","IV/164 vol.4","Real-time cyclic spectral analysis is useful in many applications, but is difficult to achieve because of its computational complexity. This paper studies the distribution of complex multipliers in multiprocessor cyclic spectrum analyzers, with the objective of obtaining computational balance. Computationally balanced implementations efficiently use hardware so that computational bottlenecks are reduced and a smooth flow of data between computational sections of the analyzer is maintained. Tables are presented that give the number of complex multipliers required in each section of the analyzer to obtain computational balance","1520-6149;15206149","0-7803-1775-0;0780317750","","10.1109/ICASSP.1994.389846","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=389846","","Arithmetic;Computational complexity;Computer architecture;Data flow computing;Delay;Distributed computing;Parameter estimation;Signal analysis;Signal detection;Spectral analysis","computational complexity;fast Fourier transforms;real-time systems;spectral analysis","complex multipliers;computational balance;computational bottlenecks;computational complexity;hardware;multiprocessor cyclic spectrum analyzers;real-time cyclic spectral analysis","","0","","4","","","19-22 Apr 1994","19 Apr 1994-22 Apr 1994","IEEE","IEEE Conference Publications"
"An input-training neural network based nonlinear principal component analysis approach for fault diagnosis","Li Erguo; Yu Jinshou","Res. Inst. of Autom., East China Univ. of Sci. & Technol., Shanghai, China","Intelligent Control and Automation, 2002. Proceedings of the 4th World Congress on","20021107","2002","4","","2755","2759 vol.4","In this paper some existing problems in the linear principal component analysis methodology are discussed first. A nonlinear principal component analysis methodology based upon input-training neural network is presented for process fault diagnosis. The learning algorithm of input-training neural network is modified to improve its learning speed and avoid oscillation during learning. Then, input-training neural network and BP neural network are used to estimate the nonlinear principal component scores. Fault detection and diagnosis is performed by means of statistical methods like Hotelling's T<sup>2</sup> and Q. Finally, the simulation research to continuous stirred tank reactor is performed to show its advantages in extracting the nonlinear features compared with the linear principal component analysis methodology.","","0-7803-7268-9;0780372689","","10.1109/WCICA.2002.1020023","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1020023","","Analytical models;Biological system modeling;Continuous-stirred tank reactor;Data mining;Fault detection;Fault diagnosis;Feature extraction;Neural networks;Principal component analysis;Statistical analysis","backpropagation;chemical industry;fault diagnosis;neural nets;principal component analysis;process control","BP neural network;chemical industry;continuous stirred tank reactor;fault detection;input-training neural network;learning speed;oscillation;principal component analysis;process fault diagnosis","","0","11","10","","","2002","","IEEE","IEEE Conference Publications"
